,date,solomon islands flights-AU,solomon islands hotel-AU,solomon islands travel-AU,solomon islands flights-NZ,solomon islands hotel-NZ,solomon islands travel-NZ,solomon islands flights-US,solomon islands hotel-US,solomon islands travel-US,solomon islands flights-JP,solomon islands hotel-JP,solomon islands travel-JP,solomon islands flights-HK,solomon islands hotel-HK,solomon islands travel-HK,solomon islands flights-NC,solomon islands hotel-NC,solomon islands travel-NC,solomon islands flights,solomon islands hotel,solomon islands travel
72,2010-01-01,12,0,5,0,0,0,0,17,8,0,0,0,0,0,0,0,0,0,0.3144015016410945,0.18872691137442918,0.5779877573988591
73,2010-02-01,0,0,0,0,0,0,9,0,26,0,0,0,0,0,0,0,0,0,0.22759555632801176,0.4432100367171931,0.40248431293322384
74,2010-03-01,12,3,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0.1959707436448407,0.24486819902765197,0.0
75,2010-04-01,14,0,0,0,0,0,14,13,11,0,0,0,0,0,0,0,0,0,0.519540950910933,0.3194146702195458,0.24000423728733963
76,2010-05-01,10,0,4,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0.34861975148722274,0.17041677406932093,0.459907755727284
77,2010-06-01,5,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0.42777005078539704,0.26152157208872845,0.0
78,2010-07-01,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0.4189547661450316,0.4094222325222728,0.0
79,2010-08-01,14,5,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0.21630735535057305,0.209863983102964,0.22487937810271644
80,2010-09-01,0,0,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0.08374653666373291,0.2171145603900375,0.15720374630830794
81,2010-10-01,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.2766140567536088,0.24768571727886474,0.18773797967962344
82,2010-11-01,10,4,4,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0.3659065337253429,0.002753406766037281,0.24760855909911092
83,2010-12-01,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.10400414667076456,0.20227650259755883,0.23933869755027282
