Day of Date,Destination Country,Destination Region,Type,Passenger,Lastwk Passengers Number 7Days,Lastyr Passengers Number 7Days,Passengers Number 7Days,psg_wow_change,psg_yoy_change,ask_wow_change,ask_yoy_change,Av Seat Km,Av Seat Km 7Days,Date,Destination Iso Country,Destination Iso3,fl_wow_change,fl_yoy_change,Flights Number,Flights Number 7Days,Lastwk Av Seat Km 7Days,Lastwk Flights Number 7Days,Lastwk Payload 7Days,Lastyr Av Seat Km 7Days,Lastyr Flights Number 7Days,Lastyr Payload 7Days,Passengers Number,Payload,Payload 7Days,pl_wow_change,pl_yoy_change
18-Sep-20,Vanuatu,East Asia & Pacific,Domestic,Passenger,680,,680,0.00%,,0.00%,,91701.33699,183402.674,9/18/20,VU,VUT,0.00%,,2,4,183402.674,4,8508,,,,340,4254,8508,0.00%,
27-Sep-20,Vanuatu,East Asia & Pacific,Domestic,Passenger,850,,1020,20.00%,,20.00%,,91701.33699,275104.011,9/27/20,VU,VUT,20.00%,,2,6,229253.3425,5,10635,,,,340,4254,12762,20.00%,
9-Oct-20,Vanuatu,East Asia & Pacific,Domestic,Passenger,680,,680,0.00%,,0.00%,,91701.33699,183402.674,10/9/20,VU,VUT,0.00%,,2,4,183402.674,4,8508,,,,340,4254,8508,0.00%,
16-Oct-20,Vanuatu,East Asia & Pacific,Domestic,Passenger,680,,680,0.00%,,0.00%,,91701.33699,183402.674,10/16/20,VU,VUT,0.00%,,2,4,183402.674,4,8508,,,,340,4254,8508,0.00%,
25-Oct-20,Vanuatu,East Asia & Pacific,Domestic,Passenger,680,340,680,0.00%,100.00%,0.00%,100.00%,91701.33699,183402.674,10/25/20,VU,VUT,0.00%,100.00%,2,4,183402.674,4,8508,91701.33699,2,4254,340,4254,8508,0.00%,100.00%
22-Nov-20,Vanuatu,East Asia & Pacific,Domestic,Passenger,340,,680,100.00%,,100.00%,,91701.33699,183402.674,11/22/20,VU,VUT,100.00%,,2,4,91701.33699,2,4254,,,,340,4254,8508,100.00%,
23-Dec-20,Vanuatu,East Asia & Pacific,Domestic,Passenger,1020,,1940,90.20%,,82.07%,,75518.74811,500890.5027,12/23/20,VU,VUT,266.67%,,4,22,275104.011,6,12762,,,,280,0,8508,-33.33%,
6-Jan-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,2870,,1750,-39.02%,,-36.60%,,90674.01217,445921.2149,1/6/21,VU,VUT,-39.02%,,5,25,703303.1318,41,,,,,350,0,0,,
8-Jan-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,2240,,2170,-3.13%,,0.63%,,102104.8533,555474.9141,1/8/21,VU,VUT,-3.13%,,6,31,552008.0634,32,,,,,420,0,0,,
13-Jan-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,1750,,2660,52.00%,,50.03%,,56639.06108,669010.6085,1/13/21,VU,VUT,52.00%,,3,38,445921.2149,25,,,,,210,0,0,,
18-Jan-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,2450,,2650,8.16%,,9.96%,,71794.32515,677486.7792,1/18/21,VU,VUT,0.00%,,4,35,616095.9704,35,,,,,280,0,4254,,
2-Feb-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,2730,,2620,-4.03%,,-5.40%,,102104.8533,650773.37,2/2/21,VU,VUT,-7.69%,,6,36,687890.2955,39,,,,,420,0,2127,,
15-Feb-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,2660,,2170,-18.42%,,-17.43%,,52914.63812,555474.9141,2/15/21,VU,VUT,-18.42%,,3,31,672735.0315,38,,,,,210,0,0,,
21-Feb-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,2240,340,2030,-9.38%,497.06%,-11.16%,456.44%,71794.32515,510266.6941,2/21/21,VU,VUT,-9.38%,1350.00%,4,29,574354.6012,32,,91701.33699,2,4254,280,0,0,,-100.00%
23-Feb-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,2170,340,2100,-3.23%,517.65%,-4.74%,477.03%,71794.32515,529146.3812,2/23/21,VU,VUT,-3.23%,1400.00%,4,30,555474.9141,31,,91701.33699,2,4254,280,0,0,,-100.00%
24-Feb-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,2030,340,2100,3.45%,517.65%,2.21%,477.03%,52914.63812,529146.3812,2/24/21,VU,VUT,3.45%,1400.00%,3,30,517715.5401,29,,91701.33699,2,4254,210,0,0,,-100.00%
25-Feb-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,2030,340,2100,3.45%,517.65%,2.21%,477.03%,52914.63812,529146.3812,2/25/21,VU,VUT,3.45%,1400.00%,3,30,517715.5401,29,,91701.33699,2,4254,210,0,0,,-100.00%
7-Mar-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,1890,,1680,-11.11%,,-9.47%,,75518.74811,434490.3738,3/7/21,VU,VUT,-11.11%,,4,24,479956.166,27,,,,,280,0,0,,
10-Mar-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,1890,,1680,-11.11%,,-9.47%,,52914.63812,434490.3738,3/10/21,VU,VUT,-11.11%,,3,24,479956.166,27,,,,,210,0,0,,
12-Mar-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,2030,,1750,-13.79%,,-12.43%,,86949.58921,453370.0609,3/12/21,VU,VUT,-13.79%,,5,25,517715.5401,29,,,,,350,0,0,,
23-Mar-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,2030,,1890,-6.90%,,-9.45%,,34034.95109,468782.8971,3/23/21,VU,VUT,-6.90%,,2,27,517715.5401,29,,,,,140,0,0,,
25-Mar-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,2170,,1680,-22.58%,,-23.44%,,37759.37406,419592.682,3/25/21,VU,VUT,-22.58%,,2,24,548026.0682,31,,,,,140,0,0,,
29-Mar-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,1820,,1330,-26.92%,,-25.85%,,52914.63812,336367.5157,3/29/21,VU,VUT,-26.92%,,3,19,453627.6331,26,,,,,210,0,0,,
5-Apr-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,1330,,1380,3.76%,,8.44%,,91701.33699,364750.6983,4/5/21,VU,VUT,-26.32%,,2,14,336367.5157,19,,,,,340,4254,8508,,
12-Apr-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,1380,,760,-44.93%,,-47.89%,,83225.16624,190081.7673,4/12/21,VU,VUT,-42.86%,,5,8,364750.6983,14,8508,,,,350,0,4254,-50.00%,
4-May-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,2690,,1470,-45.35%,,-40.97%,,52914.63812,370402.4668,5/4/21,VU,VUT,-43.24%,,3,21,627526.8115,37,2127,,,,210,0,0,-100.00%,
14-May-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,2030,,1610,-20.69%,,-21.88%,,52914.63812,404437.4179,5/14/21,VU,VUT,-20.69%,,3,23,517715.5401,29,,,,,210,0,0,,
18-May-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,1890,,2100,11.11%,,12.58%,,94398.43514,540319.6501,5/18/21,VU,VUT,11.11%,,5,30,479956.166,27,,,,,350,0,0,,
24-May-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,1960,,2170,10.71%,,11.35%,,52914.63812,555474.9141,5/24/21,VU,VUT,10.71%,,3,31,498835.853,28,,,,,210,0,0,,
4-Jun-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,1330,,420,-68.42%,,-68.54%,,52914.63812,105829.2762,6/4/21,VU,VUT,-68.42%,,3,6,336367.5157,19,,,,,210,0,0,,
7-Jun-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,280,,1260,350.00%,,377.36%,,37759.37406,324936.6746,6/7/21,VU,VUT,350.00%,,2,18,68069.90218,4,,,,,140,0,0,,
8-Jun-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,70,,1400,1900.00%,,2293.20%,,37759.37406,362696.0487,6/8/21,VU,VUT,1900.00%,,2,20,15155.26406,1,,,,,140,0,0,,
17-Jun-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,1540,,1330,-13.64%,,-16.00%,,52914.63812,336367.5157,6/17/21,VU,VUT,-13.64%,,3,19,400455.4228,22,,,,,210,0,0,,
18-Jun-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,1470,,1400,-4.76%,,-6.90%,,52914.63812,355247.2028,6/18/21,VU,VUT,-4.76%,,3,20,381575.7357,21,,,,,210,0,0,,
19-Jun-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,1330,,1400,5.26%,,3.32%,,68069.90218,355247.2028,6/19/21,VU,VUT,5.26%,,4,20,343816.3617,19,,,,,280,0,0,,
3-Jul-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,1680,,1680,0.00%,,0.00%,,68069.90218,423317.1049,7/3/21,VU,VUT,0.00%,,4,24,423317.1049,24,,,,,280,0,0,,
17-Jul-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,1710,,1750,2.34%,,4.23%,,105829.2762,449645.6379,7/17/21,VU,VUT,8.70%,,6,25,431408.3994,23,2127,,,,420,0,0,-100.00%,
18-Jul-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,1710,,1750,2.34%,,4.23%,,90674.01217,449645.6379,7/18/21,VU,VUT,8.70%,,5,25,431408.3994,23,2127,,,,350,0,0,-100.00%,
27-Jul-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,1750,,2310,32.00%,,28.62%,,102104.8533,578336.5963,7/27/21,VU,VUT,32.00%,,6,33,449645.6379,25,,,,,420,0,0,,
1-Aug-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,1890,,2240,18.52%,,16.56%,,90674.01217,559456.9093,8/1/21,VU,VUT,18.52%,,5,32,479956.166,27,,,,,350,0,0,,
2-Aug-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,2100,,2030,-3.33%,,-3.57%,,52914.63812,510266.6941,8/2/21,VU,VUT,-3.33%,,3,29,529146.3812,30,,,,,210,0,0,,
20-Aug-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,2100,,2240,6.67%,,5.81%,,83225.16624,552008.0634,8/20/21,VU,VUT,6.67%,,5,32,521697.5352,30,,,,,350,0,0,,
31-Aug-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,2310,,2590,12.12%,,10.69%,,120984.5403,627784.3837,8/31/21,VU,VUT,12.12%,,7,37,567163.3274,33,,,,,490,0,0,,
1-Sep-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,2240,,2870,28.13%,,26.06%,,105829.2762,695854.2858,9/1/21,VU,VUT,28.13%,,6,41,552008.0634,32,,,,,420,0,0,,
6-Sep-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,2170,,3150,45.16%,,43.90%,,98380.4303,756475.3421,9/6/21,VU,VUT,45.16%,,6,45,525679.5304,31,,,,,420,0,0,,
20-Sep-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,2730,,2430,-10.99%,,-8.15%,,52914.63812,618150.62,9/20/21,VU,VUT,-25.64%,,3,29,672992.6037,39,,,,,210,0,8508,,
21-Sep-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,2800,,2220,-20.71%,,-19.17%,,18879.68703,565235.9819,9/21/21,VU,VUT,-35.00%,,1,26,699321.1366,40,,,,,70,0,8508,,
26-Sep-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,2710,,1750,-35.42%,,-36.30%,,105829.2762,434747.946,9/26/21,VU,VUT,-24.24%,,6,25,682496.0992,33,8508,,,,420,0,0,-100.00%,
27-Sep-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,2430,,1750,-27.98%,,-29.67%,,52914.63812,434747.946,9/27/21,VU,VUT,-13.79%,,3,25,618150.62,29,8508,,,,210,0,0,-100.00%,
28-Sep-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,2220,,1890,-14.86%,,-17.06%,,52914.63812,468782.8971,9/28/21,VU,VUT,3.85%,,3,27,565235.9819,26,8508,,,,210,0,0,-100.00%,
1-Oct-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,1810,,2310,27.62%,,25.78%,,98380.4303,567163.3274,10/1/21,VU,VUT,43.48%,,6,33,450930.5349,23,4254,,,,420,0,0,-100.00%,
16-Oct-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,2170,,2020,-6.91%,,-6.79%,,49190.21515,503845.173,10/16/21,VU,VUT,-16.13%,,3,26,540577.2223,31,,,,,210,0,4254,,
4-Nov-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,1190,,2340,96.64%,,69.23%,,37759.37406,536852.7993,11/4/21,VU,VUT,88.24%,,2,32,317230.2565,17,,,,,140,0,2127,,
6-Nov-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,1680,,2200,30.95%,,18.62%,,68069.90218,506542.2712,11/6/21,VU,VUT,25.00%,,4,30,427041.5279,24,,,,,280,0,2127,,
16-Nov-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,1640,,2480,51.22%,,63.49%,,52914.63812,605565.15,11/16/21,VU,VUT,54.55%,,3,34,370402.4668,22,2127,,,,210,0,2127,0.00%,
18-Dec-21,Vanuatu,East Asia & Pacific,Domestic,Passenger,2900,170,1310,-54.83%,670.59%,-52.89%,646.22%,91701.33699,342146.5883,12/18/21,VU,VUT,-67.50%,1200.00%,2,13,726292.1181,40,2127,45850.6685,1,2127,340,4254,8508,300.00%,300.00%
22-Jan-22,Vanuatu,East Asia & Pacific,Domestic,Passenger,,,680,,,,,91701.33699,183402.674,1/22/22,VU,VUT,,,2,4,,,,,,,340,4254,8508,,
5-Feb-22,Vanuatu,East Asia & Pacific,Domestic,Passenger,340,,1020,200.00%,,200.00%,,91701.33699,275104.011,2/5/22,VU,VUT,200.00%,,2,6,91701.33699,2,4254,,,,340,4254,12762,200.00%,
22-Sep-22,Vanuatu,East Asia & Pacific,Domestic,Passenger,,,92,,,,,12406.65148,24813.30295,9/22/22,VU,VUT,,,1,2,,,,,,,46,776,1552,,
2-Oct-22,Vanuatu,East Asia & Pacific,Domestic,Passenger,230,,690,200.00%,,191.79%,,22365.825,173862.3824,10/2/22,VU,VUT,200.00%,,2,15,59585.77943,5,3880,,,,92,1552,11640,200.00%,
7-Oct-22,Vanuatu,East Asia & Pacific,Domestic,Passenger,644,,690,7.14%,,4.58%,,34772.47648,171414.9044,10/7/22,VU,VUT,7.14%,,3,15,163903.2089,14,10864,,,,138,2328,11640,7.14%,
11-Oct-22,Vanuatu,East Asia & Pacific,Domestic,Passenger,736,,736,0.00%,,0.00%,,34772.47648,183821.5559,10/11/22,VU,VUT,0.00%,,3,16,183821.5559,16,12416,,,,138,2328,12416,0.00%,
17-Nov-22,Vanuatu,East Asia & Pacific,Domestic,Passenger,308,,596,93.51%,,91.73%,,45850.6685,154575.1486,11/17/22,VU,VUT,50.00%,,1,6,80623.14497,4,4455,,,,170,2127,5030,12.91%,
25-Nov-22,Vanuatu,East Asia & Pacific,Domestic,Passenger,766,,1140,48.83%,,47.83%,,45850.6685,296295.9198,11/25/22,VU,VUT,71.43%,,1,12,200425.8171,7,7157,,,,170,2127,6381,-10.84%,
7-Dec-22,Vanuatu,East Asia & Pacific,Domestic,Passenger,970,,1600,64.95%,,65.85%,,90674.01217,409189.1657,12/7/22,VU,VUT,81.82%,,5,20,246720.8284,11,4254,,,,350,0,4254,0.00%,
10-Dec-22,Vanuatu,East Asia & Pacific,Domestic,Passenger,1430,,1500,4.90%,,2.12%,,83225.16624,359614.0742,12/10/22,VU,VUT,5.26%,,6,20,352165.2283,19,2127,,,,420,0,2127,0.00%,
12-Jan-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,2850,,2430,-14.74%,,-12.96%,,91701.33699,610701.7741,1/12/23,VU,VUT,-17.14%,,2,29,701633.3584,35,8508,,,,340,4254,8508,0.00%,
16-Jan-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,2710,,2500,-7.75%,,-6.22%,,68069.90218,629581.4611,1/16/23,VU,VUT,-9.09%,,4,30,671322.8303,33,8508,,,,280,0,8508,0.00%,
23-Jan-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,2500,,2020,-19.20%,,-18.20%,,68069.90218,515018.4419,1/23/23,VU,VUT,-13.33%,,4,26,629581.4611,30,8508,,,,280,0,4254,-50.00%,
30-Jan-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,2020,,3010,49.01%,,43.89%,,68069.90218,741062.5058,1/30/23,VU,VUT,65.38%,,4,43,515018.4419,26,4254,,,,280,0,0,-100.00%,
13-Feb-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,3130,,1880,-39.94%,,-37.01%,,37759.37406,484707.9138,2/13/23,VU,VUT,-38.46%,,2,24,769445.6884,39,8508,,,,140,0,4254,-50.00%,
15-Feb-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,2920,,1680,-42.47%,,-39.88%,,105829.2762,430765.9509,2/15/23,VU,VUT,-33.33%,,6,24,716531.0503,36,8508,,,,420,0,0,-100.00%,
25-Mar-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,750,,1610,114.67%,,103.69%,,68069.90218,404437.4179,3/25/23,VU,VUT,360.00%,,4,23,198557.938,5,8508,,,,280,0,0,-100.00%,
27-Mar-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,960,,1890,96.88%,,89.38%,,68069.90218,476231.7431,3/27/23,VU,VUT,237.50%,,4,27,251472.5762,8,8508,,,,280,0,0,-100.00%,
1-Apr-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,1610,,2100,30.43%,,30.84%,,105829.2762,529146.3812,4/1/23,VU,VUT,30.43%,,6,30,404437.4179,23,,,,,420,0,0,,
15-Apr-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,1610,,2310,43.48%,,43.00%,,136139.8044,578336.5963,4/15/23,VU,VUT,43.48%,,8,33,404437.4179,23,,,,,560,0,0,,
3-May-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,,,560,,,,,105829.2762,143588.6503,5/3/23,VU,VUT,,,6,8,,,,,,,420,0,0,,
4-May-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,,,700,,,,,37759.37406,181348.0243,5/4/23,VU,VUT,,,2,10,,,,,,,140,0,0,,
5-May-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,,,1120,,,,,98380.4303,279728.4546,5/5/23,VU,VUT,,,6,16,,,,,,,420,0,0,,
10-May-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,560,,1960,250.00%,,242.22%,,105829.2762,491387.0071,5/10/23,VU,VUT,250.00%,,6,28,143588.6503,8,,,,,420,0,0,,
4-Jun-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,2170,,2030,-6.45%,,-5.65%,,56639.06108,506542.2712,6/4/23,VU,VUT,-6.45%,,3,29,536852.7993,31,,,,,210,0,0,,
12-Jun-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,2100,,2030,-3.33%,,-3.62%,,68069.90218,502817.8482,6/12/23,VU,VUT,-3.33%,,4,29,521697.5352,30,,,,,280,0,0,,
17-Jun-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,2030,,2100,3.45%,,3.75%,,86949.58921,521697.5352,6/17/23,VU,VUT,3.45%,,5,30,502817.8482,29,,,,,350,0,0,,
27-Jun-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,2100,,2170,3.33%,,2.90%,,37759.37406,536852.7993,6/27/23,VU,VUT,3.33%,,2,31,521697.5352,30,,,,,140,0,0,,
8-Jul-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,2240,,2240,0.00%,,0.00%,,105829.2762,559456.9093,7/8/23,VU,VUT,0.00%,,6,32,559456.9093,32,,,,,420,0,0,,
10-Jul-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,2240,,2240,0.00%,,0.00%,,68069.90218,559456.9093,7/10/23,VU,VUT,0.00%,,4,32,559456.9093,32,,,,,280,0,0,,
18-Jul-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,2240,,2724,21.61%,,22.00%,,75518.74811,682547.6137,7/18/23,VU,VUT,9.38%,,4,35,559456.9093,32,,,,,280,0,7623,,
27-Jul-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,2514,,2370,-5.73%,,-5.61%,,68069.90218,590794.7622,7/27/23,VU,VUT,-3.13%,,4,31,625908.5526,32,7623,,,,280,0,4254,-44.20%,
28-Jul-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,2174,,2510,15.46%,,14.67%,,147570.6454,621105.2904,7/28/23,VU,VUT,10.00%,,9,33,541656.0615,30,3369,,,,630,0,4254,26.27%,
23-Aug-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,1600,,2380,48.75%,,45.95%,,105829.2762,597216.2833,8/23/23,VU,VUT,70.00%,,6,34,409189.1657,20,4254,,,,420,0,0,-100.00%,
29-Aug-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,2380,,2170,-8.82%,,-9.48%,,37759.37406,540577.2223,8/29/23,VU,VUT,-8.82%,,2,31,597216.2833,34,,,,,140,0,0,,
14-Sep-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,2380,,2100,-11.76%,,-11.54%,,49190.21515,521697.5352,9/14/23,VU,VUT,-11.76%,,3,30,589767.4374,34,,,,,210,0,0,,
27-Sep-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,1960,,2810,43.37%,,51.75%,,105829.2762,705742.6577,9/27/23,VU,VUT,32.14%,,6,37,465058.4742,28,,,,,420,0,0,,
28-Sep-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,2460,,2740,11.38%,,13.17%,,165165.4355,683138.5477,9/28/23,VU,VUT,12.50%,,6,36,603637.8045,32,,,,,640,0,0,,
29-Sep-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,2460,,2810,14.23%,,15.44%,,117260.1173,705742.6577,9/29/23,VU,VUT,15.63%,,7,37,611344.2226,32,,,,,490,0,0,,
10-Oct-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,1900,,2170,14.21%,,9.78%,,37759.37406,521697.5352,10/10/23,VU,VUT,29.17%,,2,31,475204.4182,24,,,,,140,0,0,,
14-Oct-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,1400,,2310,65.00%,,79.90%,,86949.58921,578336.5963,10/14/23,VU,VUT,65.00%,,5,33,321469.8239,20,,,,,350,0,0,,
21-Oct-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,2310,340,2440,5.63%,617.65%,6.06%,568.91%,136139.8044,613398.8722,10/21/23,VU,VUT,-3.03%,1500.00%,8,32,578336.5963,33,,91701.33699,2,4254,560,0,4254,,0.00%
22-Oct-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,2170,340,2440,12.44%,617.65%,13.47%,568.91%,56639.06108,613398.8722,10/22/23,VU,VUT,3.23%,1500.00%,3,32,540577.2223,31,,91701.33699,2,4254,210,0,4254,,0.00%
23-Oct-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,2170,340,2440,12.44%,617.65%,13.47%,568.91%,68069.90218,613398.8722,10/23/23,VU,VUT,3.23%,1500.00%,4,32,540577.2223,31,,91701.33699,2,4254,280,0,4254,,0.00%
26-Oct-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,2030,340,2020,-0.49%,494.12%,-0.53%,453.50%,75518.74811,507569.596,10/26/23,VU,VUT,-10.34%,1200.00%,4,26,510266.6941,29,,91701.33699,2,4254,280,0,4254,,0.00%
1-Nov-23,Vanuatu,East Asia & Pacific,Domestic,Passenger,1880,,2450,30.32%,,28.76%,,120984.5403,604922.7015,11/1/23,VU,VUT,45.83%,,7,35,469810.2219,24,4254,,,,490,0,0,-100.00%,
16-Sep-22,Samoa,East Asia & Pacific,Inter-Regional,Passenger,170,170,170,0.00%,0.00%,0.00%,0.00%,710898.0942,710898.0942,9/16/22,WS,WSM,0.00%,0.00%,1,1,710898.0942,1,,710898.0942,1,0,170,0,0,,
30-Sep-22,Samoa,East Asia & Pacific,Inter-Regional,Passenger,170,122,170,0.00%,39.34%,0.00%,39.34%,710898.0942,710898.0942,9/30/22,WS,WSM,0.00%,0.00%,1,1,710898.0942,1,,510173.9264,1,0,170,0,0,,
28-Oct-22,Samoa,East Asia & Pacific,Inter-Regional,Passenger,170,122,170,0.00%,39.34%,0.00%,39.34%,710898.0942,710898.0942,10/28/22,WS,WSM,0.00%,0.00%,1,1,710898.0942,1,,510173.9264,1,0,170,0,0,,
9-Dec-22,Samoa,East Asia & Pacific,Inter-Regional,Passenger,170,442,170,0.00%,-61.54%,0.00%,-61.54%,710898.0942,710898.0942,12/9/22,WS,WSM,0.00%,-50.00%,1,1,710898.0942,1,,1848335.045,2,11449,170,0,0,,-100.00%
31-Jan-23,Samoa,East Asia & Pacific,Inter-Regional,Passenger,170,170,250,47.06%,47.06%,74.60%,74.60%,530328.1243,1241226.218,1/31/23,WS,WSM,100.00%,100.00%,1,2,710898.0942,1,,710898.0942,1,0,80,14157,14157,,
3-Feb-23,Samoa,East Asia & Pacific,Inter-Regional,Passenger,170,170,250,47.06%,47.06%,74.60%,74.60%,710898.0942,1241226.218,2/3/23,WS,WSM,100.00%,100.00%,1,2,710898.0942,1,,710898.0942,1,0,170,0,14157,,
16-Feb-20,Samoa,East Asia & Pacific,Domestic,Passenger,,,76,,,,,0,551.8704775,2/16/20,WS,WSM,,,1,4,,,,,,,19,0,0,,
19-Feb-20,Samoa,East Asia & Pacific,Domestic,Passenger,38,95,76,100.00%,-20.00%,0.00%,-50.00%,551.8704775,551.8704775,2/19/20,WS,WSM,100.00%,-20.00%,2,4,551.8704775,2,,1103.740955,5,0,38,0,0,,
18-Jun-20,Samoa,East Asia & Pacific,Domestic,Passenger,,152,19,,-87.50%,,-100.00%,0,0,6/18/20,WS,WSM,,-87.50%,1,1,,,,3311.222865,8,0,19,0,0,,
24-Jun-20,Samoa,East Asia & Pacific,Domestic,Passenger,,209,38,,-81.82%,,-100.00%,0,0,6/24/20,WS,WSM,,-81.82%,1,2,,,,6070.575252,11,0,19,0,0,,
17-Mar-21,Samoa,East Asia & Pacific,Domestic,Passenger,,114,19,,-83.33%,,-100.00%,0,0,3/17/21,WS,WSM,,-83.33%,1,1,,,,2759.352387,6,0,19,0,0,,
7-May-21,Samoa,East Asia & Pacific,Domestic,Passenger,19,247,57,200.00%,-76.92%,0.00%,-91.01%,0,545.7150233,5/7/21,WS,WSM,200.00%,-76.92%,2,3,545.7150233,1,,6070.575252,13,0,38,0,0,,
27-Jun-21,Samoa,East Asia & Pacific,Domestic,Passenger,,228,95,,-58.33%,,-100.00%,0,0,6/27/21,WS,WSM,,-58.33%,5,5,,,,6622.44573,12,0,95,0,0,,
30-Aug-21,Samoa,East Asia & Pacific,Domestic,Passenger,,57,38,,-33.33%,,-100.00%,0,0,8/30/21,WS,WSM,,-33.33%,2,2,,,,1655.611432,3,0,38,0,0,,
16-Oct-22,Samoa,East Asia & Pacific,Domestic,Passenger,228,209,171,-25.00%,-18.18%,0.00%,-50.00%,551.8704775,2207.48191,10/16/22,WS,WSM,-25.00%,-18.18%,1,9,2207.48191,12,,4414.96382,11,0,19,0,0,,
31-Oct-22,Samoa,East Asia & Pacific,Domestic,Passenger,133,76,114,-14.29%,50.00%,0.00%,25.00%,551.8704775,2759.352387,10/31/22,WS,WSM,-14.29%,50.00%,1,6,2759.352387,7,,2207.48191,4,0,19,0,0,,
6-Nov-22,Samoa,East Asia & Pacific,Domestic,Passenger,95,133,95,0.00%,-28.57%,-25.00%,-50.00%,0,1655.611432,11/6/22,WS,WSM,0.00%,-28.57%,1,5,2207.48191,5,,3311.222865,7,0,19,0,0,,
