,country,date,seats_arrivals_domestic,seats_arrivals_intl,seats_arrivals_total
321,Palau,2019-11-18,0.0,284.0,284.0
322,Palau,2019-11-19,0.0,472.0,472.0
323,Palau,2019-11-20,0.0,458.0,458.0
324,Palau,2019-11-21,0.0,618.0,618.0
325,Palau,2019-11-22,0.0,453.0,453.0
326,Palau,2019-11-23,0.0,533.0,533.0
327,Palau,2019-11-24,0.0,459.0,459.0
328,Palau,2019-11-25,0.0,284.0,284.0
329,Palau,2019-11-26,0.0,472.0,472.0
330,Palau,2019-11-27,0.0,458.0,458.0
331,Palau,2019-11-28,0.0,618.0,618.0
332,Palau,2019-11-29,0.0,450.0,450.0
333,Palau,2019-11-30,0.0,533.0,533.0
334,Palau,2019-12-01,0.0,438.0,438.0
335,Palau,2019-12-02,0.0,287.0,287.0
336,Palau,2019-12-03,0.0,346.0,346.0
337,Palau,2019-12-04,0.0,458.0,458.0
338,Palau,2019-12-05,0.0,658.0,658.0
339,Palau,2019-12-06,0.0,450.0,450.0
340,Palau,2019-12-07,0.0,512.0,512.0
341,Palau,2019-12-08,0.0,438.0,438.0
342,Palau,2019-12-09,0.0,324.0,324.0
343,Palau,2019-12-10,0.0,472.0,472.0
344,Palau,2019-12-11,0.0,498.0,498.0
345,Palau,2019-12-12,0.0,618.0,618.0
346,Palau,2019-12-13,0.0,453.0,453.0
347,Palau,2019-12-14,0.0,533.0,533.0
348,Palau,2019-12-15,0.0,438.0,438.0
349,Palau,2019-12-16,0.0,442.0,442.0
350,Palau,2019-12-17,0.0,472.0,472.0
351,Palau,2019-12-18,0.0,458.0,458.0
352,Palau,2019-12-19,0.0,639.0,639.0
353,Palau,2019-12-20,0.0,616.0,616.0
354,Palau,2019-12-21,0.0,536.0,536.0
355,Palau,2019-12-22,0.0,478.0,478.0
356,Palau,2019-12-23,0.0,287.0,287.0
357,Palau,2019-12-24,0.0,472.0,472.0
358,Palau,2019-12-25,0.0,519.0,519.0
359,Palau,2019-12-26,0.0,658.0,658.0
360,Palau,2019-12-27,0.0,450.0,450.0
361,Palau,2019-12-28,0.0,711.0,711.0
362,Palau,2019-12-29,0.0,588.0,588.0
363,Palau,2019-12-30,0.0,671.0,671.0
364,Palau,2019-12-31,0.0,472.0,472.0
365,Palau,2020-01-01,0.0,807.0,807.0
366,Palau,2020-01-02,0.0,986.0,986.0
367,Palau,2020-01-03,0.0,490.0,490.0
368,Palau,2020-01-04,0.0,662.0,662.0
369,Palau,2020-01-05,0.0,637.0,637.0
370,Palau,2020-01-06,0.0,284.0,284.0
371,Palau,2020-01-07,0.0,472.0,472.0
372,Palau,2020-01-08,0.0,458.0,458.0
373,Palau,2020-01-09,0.0,838.0,838.0
374,Palau,2020-01-10,0.0,450.0,450.0
375,Palau,2020-01-11,0.0,512.0,512.0
376,Palau,2020-01-12,0.0,438.0,438.0
377,Palau,2020-01-13,0.0,523.0,523.0
378,Palau,2020-01-14,0.0,512.0,512.0
379,Palau,2020-01-15,0.0,458.0,458.0
380,Palau,2020-01-16,0.0,618.0,618.0
381,Palau,2020-01-17,0.0,450.0,450.0
382,Palau,2020-01-18,0.0,512.0,512.0
383,Palau,2020-01-19,0.0,438.0,438.0
384,Palau,2020-01-20,0.0,287.0,287.0
385,Palau,2020-01-21,0.0,472.0,472.0
386,Palau,2020-01-22,0.0,498.0,498.0
387,Palau,2020-01-23,0.0,658.0,658.0
388,Palau,2020-01-24,0.0,453.0,453.0
389,Palau,2020-01-25,0.0,512.0,512.0
390,Palau,2020-01-26,0.0,438.0,438.0
391,Palau,2020-01-27,0.0,284.0,284.0
392,Palau,2020-01-28,0.0,472.0,472.0
393,Palau,2020-01-29,0.0,479.0,479.0
394,Palau,2020-01-30,0.0,618.0,618.0
395,Palau,2020-01-31,0.0,450.0,450.0
396,Palau,2020-02-01,0.0,512.0,512.0
397,Palau,2020-02-02,0.0,438.0,438.0
398,Palau,2020-02-03,0.0,284.0,284.0
399,Palau,2020-02-04,0.0,292.0,292.0
400,Palau,2020-02-05,0.0,498.0,498.0
401,Palau,2020-02-06,0.0,438.0,438.0
402,Palau,2020-02-07,0.0,450.0,450.0
403,Palau,2020-02-08,0.0,332.0,332.0
404,Palau,2020-02-09,0.0,459.0,459.0
405,Palau,2020-02-10,0.0,284.0,284.0
406,Palau,2020-02-11,0.0,292.0,292.0
407,Palau,2020-02-12,0.0,458.0,458.0
408,Palau,2020-02-13,0.0,478.0,478.0
409,Palau,2020-02-14,0.0,450.0,450.0
410,Palau,2020-02-15,0.0,332.0,332.0
411,Palau,2020-02-16,0.0,478.0,478.0
412,Palau,2020-02-17,0.0,284.0,284.0
413,Palau,2020-02-18,0.0,481.0,481.0
414,Palau,2020-02-19,0.0,479.0,479.0
415,Palau,2020-02-20,0.0,438.0,438.0
416,Palau,2020-02-21,0.0,679.0,679.0
417,Palau,2020-02-22,0.0,353.0,353.0
418,Palau,2020-02-23,0.0,499.0,499.0
419,Palau,2020-02-24,0.0,284.0,284.0
420,Palau,2020-02-25,0.0,481.0,481.0
421,Palau,2020-02-26,0.0,479.0,479.0
422,Palau,2020-02-27,0.0,438.0,438.0
423,Palau,2020-02-28,0.0,679.0,679.0
424,Palau,2020-02-29,0.0,353.0,353.0
425,Palau,2020-03-01,0.0,459.0,459.0
426,Palau,2020-03-02,0.0,284.0,284.0
427,Palau,2020-03-03,0.0,481.0,481.0
428,Palau,2020-03-04,0.0,479.0,479.0
429,Palau,2020-03-05,0.0,438.0,438.0
430,Palau,2020-03-06,0.0,639.0,639.0
431,Palau,2020-03-07,0.0,195.0,195.0
432,Palau,2020-03-08,0.0,438.0,438.0
433,Palau,2020-03-09,0.0,324.0,324.0
434,Palau,2020-03-10,0.0,481.0,481.0
435,Palau,2020-03-11,0.0,461.0,461.0
436,Palau,2020-03-12,0.0,658.0,658.0
437,Palau,2020-03-13,0.0,450.0,450.0
438,Palau,2020-03-14,0.0,158.0,158.0
439,Palau,2020-03-15,0.0,340.0,340.0
440,Palau,2020-03-16,0.0,700.0,700.0
441,Palau,2020-03-17,0.0,292.0,292.0
442,Palau,2020-03-18,0.0,324.0,324.0
443,Palau,2020-03-19,0.0,321.0,321.0
444,Palau,2020-03-20,0.0,609.0,609.0
445,Palau,2020-03-21,0.0,158.0,158.0
446,Palau,2020-03-22,0.0,174.0,174.0
447,Palau,2020-03-23,0.0,126.0,126.0
448,Palau,2020-03-24,0.0,199.0,199.0
449,Palau,2020-03-25,0.0,0.0,0.0
450,Palau,2020-03-26,0.0,166.0,166.0
451,Palau,2020-03-27,0.0,0.0,0.0
452,Palau,2020-03-28,0.0,199.0,199.0
453,Palau,2020-03-29,0.0,0.0,0.0
454,Palau,2020-03-30,0.0,0.0,0.0
455,Palau,2020-03-31,0.0,0.0,0.0
456,Palau,2020-04-01,0.0,0.0,0.0
457,Palau,2020-04-02,0.0,0.0,0.0
458,Palau,2020-04-03,0.0,0.0,0.0
459,Palau,2020-04-04,0.0,0.0,0.0
460,Palau,2020-04-05,0.0,0.0,0.0
461,Palau,2020-04-06,0.0,0.0,0.0
462,Palau,2020-04-07,0.0,0.0,0.0
463,Palau,2020-04-08,0.0,0.0,0.0
464,Palau,2020-04-09,0.0,0.0,0.0
465,Palau,2020-04-10,0.0,0.0,0.0
466,Palau,2020-04-11,0.0,0.0,0.0
467,Palau,2020-04-12,0.0,0.0,0.0
468,Palau,2020-04-13,0.0,0.0,0.0
469,Palau,2020-04-14,0.0,0.0,0.0
470,Palau,2020-04-15,0.0,0.0,0.0
471,Palau,2020-04-16,0.0,0.0,0.0
472,Palau,2020-04-17,0.0,0.0,0.0
473,Palau,2020-04-18,0.0,0.0,0.0
474,Palau,2020-04-19,0.0,0.0,0.0
475,Palau,2020-04-20,0.0,0.0,0.0
476,Palau,2020-04-21,0.0,0.0,0.0
477,Palau,2020-04-22,0.0,0.0,0.0
478,Palau,2020-04-23,0.0,0.0,0.0
479,Palau,2020-04-24,0.0,0.0,0.0
480,Palau,2020-04-25,0.0,0.0,0.0
481,Palau,2020-04-26,0.0,0.0,0.0
482,Palau,2020-04-27,0.0,0.0,0.0
483,Palau,2020-04-28,0.0,0.0,0.0
484,Palau,2020-04-29,0.0,0.0,0.0
485,Palau,2020-04-30,0.0,0.0,0.0
486,Palau,2020-05-01,0.0,0.0,0.0
487,Palau,2020-05-02,0.0,0.0,0.0
488,Palau,2020-05-03,0.0,0.0,0.0
489,Palau,2020-05-04,0.0,0.0,0.0
490,Palau,2020-05-05,0.0,0.0,0.0
491,Palau,2020-05-06,0.0,0.0,0.0
492,Palau,2020-05-07,0.0,0.0,0.0
493,Palau,2020-05-08,0.0,0.0,0.0
494,Palau,2020-05-09,0.0,0.0,0.0
495,Palau,2020-05-10,0.0,0.0,0.0
496,Palau,2020-05-11,0.0,0.0,0.0
497,Palau,2020-05-12,0.0,0.0,0.0
498,Palau,2020-05-13,0.0,0.0,0.0
499,Palau,2020-05-14,0.0,0.0,0.0
500,Palau,2020-05-15,0.0,0.0,0.0
501,Palau,2020-05-16,0.0,0.0,0.0
502,Palau,2020-05-17,0.0,0.0,0.0
503,Palau,2020-05-18,0.0,0.0,0.0
504,Palau,2020-05-19,0.0,0.0,0.0
505,Palau,2020-05-20,0.0,0.0,0.0
506,Palau,2020-05-21,0.0,126.0,126.0
507,Palau,2020-05-22,0.0,0.0,0.0
508,Palau,2020-05-23,0.0,195.0,195.0
509,Palau,2020-05-24,0.0,0.0,0.0
510,Palau,2020-05-25,0.0,0.0,0.0
511,Palau,2020-05-26,0.0,0.0,0.0
512,Palau,2020-05-27,0.0,0.0,0.0
513,Palau,2020-05-28,0.0,0.0,0.0
514,Palau,2020-05-29,0.0,0.0,0.0
515,Palau,2020-05-30,0.0,0.0,0.0
516,Palau,2020-05-31,0.0,0.0,0.0
517,Palau,2020-06-01,0.0,0.0,0.0
518,Palau,2020-06-02,0.0,0.0,0.0
519,Palau,2020-06-03,0.0,0.0,0.0
520,Palau,2020-06-04,0.0,0.0,0.0
521,Palau,2020-06-05,0.0,0.0,0.0
522,Palau,2020-06-06,0.0,0.0,0.0
523,Palau,2020-06-07,0.0,0.0,0.0
524,Palau,2020-06-08,0.0,0.0,0.0
525,Palau,2020-06-09,0.0,0.0,0.0
526,Palau,2020-06-10,0.0,0.0,0.0
527,Palau,2020-06-11,0.0,126.0,126.0
528,Palau,2020-06-12,0.0,0.0,0.0
529,Palau,2020-06-13,0.0,0.0,0.0
530,Palau,2020-06-14,0.0,0.0,0.0
531,Palau,2020-06-15,0.0,0.0,0.0
