,date,total,train_pred,mean_se,mean_ci_lower,mean_ci_upper
72,2015-01-01,1259,1417.3142867383965,2170.8449729561416,443.7455692241823,2519.4061692097007
73,2015-02-01,1465,1339.0184672083321,2169.243150241539,408.1517814622588,2465.858049697268
74,2015-03-01,1675,1692.6897718819532,2168.7756409750864,598.7978329687279,2670.9803561438594
75,2015-04-01,1750,1704.1105854889233,2168.4068573814657,606.4893602366027,2676.2332890528955
76,2015-05-01,1681,1564.5702656068581,2168.1151178389982,524.1232175134658,2602.7385928328877
77,2015-06-01,2131,2668.634825969593,2167.88380772382,1690.0411286419674,3019.772777946224
78,2015-07-01,2077,2154.5155226660045,2167.700102901163,964.924475268657,2864.3349029664864
79,2015-08-01,1426,1662.844766890331,2167.5541198129063,582.1398211509987,2654.4756874424684
80,2015-09-01,2211,1864.809033775014,2167.43864687004,717.3737762742259,2749.948769423283
81,2015-10-01,1748,1735.3315435632637,2167.350813945383,628.0217416442348,2690.321131303773
82,2015-11-01,2101,1623.2600476885607,2167.3016494923477,558.811006186867,2633.553497520478
83,2015-12-01,2099,1724.6977388192283,2167.2974258432723,621.2215548922625,2685.098567938089
84,2016-01-01,1655,1585.0756176827429,2164.5030756792617,540.4091960900241,2609.469092601506
85,2016-02-01,1707,1599.5806731697255,2163.3880722739987,550.2425448896413,2616.001109712879
86,2016-03-01,1675,1791.0679463550186,2163.064961784406,671.845023679561,2712.1937062276475
87,2016-04-01,1799,1714.6365048974255,2162.809027199428,621.3332607546854,2675.1138655849136
88,2016-05-01,1896,1753.4539605739235,2162.605897155418,647.0469646812433,2693.862979345906
89,2016-06-01,1984,2665.173964314497,2162.444423944931,1695.5981812418804,3017.2539374501903
90,2016-07-01,2319,2152.2477180847327,2162.3159189567627,973.2729398587088,2859.7229858214696
91,2016-08-01,1918,1783.9865413406376,2162.213636446282,668.2929906719689,2707.974468535777
92,2016-09-01,1428,2105.9261115930626,2162.132641270737,928.4451330852246,2842.624671011419
93,2016-10-01,2257,1699.26538849221,2162.0710546488344,612.5866500472017,2666.59185805215
94,2016-11-01,2199,1818.814374734621,2162.03694606975,692.8638308494474,2723.9643281028357
95,2016-12-01,2357,1898.5450602885094,2162.03312309738,751.6398194381387,2759.423030217808
96,2017-01-01,1514,1648.171431467617,2159.941508663912,583.8375005136523,2637.7821941462676
97,2017-02-01,1635,1650.4752776361665,2159.126783173939,586.3817010410096,2638.0132236554628
98,2017-03-01,1732,1838.8457358964586,2158.892007356265,712.2784154240057,2729.905192268747
99,2017-04-01,2013,1793.5979072625219,2158.705558680417,680.3904547954131,2708.784426603772
100,2017-05-01,1851,1882.166657255157,2158.5572728136135,744.975182786323,2748.9548529751123
101,2017-06-01,2561,2610.2107393007054,2158.4392033537133,1600.3604872121982,3001.2776734559093
102,2017-07-01,2295,2386.292707651758,2158.3451179855056,1251.9350326582555,2935.830334683741
103,2017-08-01,2589,1863.1424763432594,2158.27015534514,731.160589170862,2740.2346150430717
104,2017-09-01,2397,2296.6715546165383,2158.2107541118517,1139.3783622365058,2906.9279753342475
105,2017-10-01,2500,2151.256111091403,2158.165605395237,980.4739288190585,2856.401779534989
106,2017-11-01,2317,2172.0125090352763,2158.14080937096,1001.6150919373518,2863.893819619043
107,2017-12-01,2305,2202.4748943163922,2158.1374621559016,1033.4916320811603,2874.7258196174485
108,2018-01-01,2081,1859.1503566061247,2156.5269856732866,731.0558810914132,2736.7171851459625
109,2018-02-01,1855,1969.8338545652575,2155.9104245136004,819.0727668052054,2783.9983884538024
110,2018-03-01,2360,2055.706234730963,2155.7335214540667,893.9353174363423,2818.4731545518102
111,2018-04-01,2250,2204.27589531026,2155.5927891497486,1040.5882684173248,2873.649700457845
112,2018-05-01,2003,2165.1203543182733,2155.4807079732914,999.857441510301,2859.5327734865928
113,2018-06-01,2768,2752.9908003713626,2155.3913677953756,1898.2930574495406,3037.9506380832277
114,2018-07-01,2862,2572.7736337689525,2155.3201136874495,1541.243859504472,2989.7824103911003
115,2018-08-01,2313,2404.747235685378,2155.263303293041,1283.6477994423042,2940.012678419304
116,2018-09-01,2663,2461.842933528505,2155.218266465854,1364.7739698742776,2957.4678521716087
117,2018-10-01,2366,2472.878084155482,2155.184049002139,1381.2364535295578,2960.7605757452625
118,2018-11-01,2044,2335.37397204393,2155.165381038003,1193.1480907543478,2917.8729249676835
