,date,ym,samoa_rnz_news_count,samoa_rnz_epu_count,samoa_rnz_ratio,samoa_observer_news_count,samoa_observer_epu_count,samoa_observer_ratio,news_total,samoa_rnz_weights,samoa_observer_weights,samoa_rnz_z_score,samoa_observer_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
74,2021-04-01,2021-4,7.0,0.0,0.0,102.0,12.0,0.11764705882352941,109.0,0.06422018348623854,0.9357798165137615,0.0,2.335504199523451,1.1677520997617254,2.1855176912971745,141.89749351797406,113.64593692727158
75,2021-05-01,2021-5,4.0,1.0,0.25,115.0,14.0,0.12173913043478261,119.0,0.03361344537815126,0.9663865546218487,2.82174723204389,2.4167391282025275,2.619243180123209,2.4303528459787076,157.79372483778315,254.90542496665677
76,2021-06-01,2021-6,2.0,0.0,0.0,110.0,16.0,0.14545454545454545,112.0,0.017857142857142856,0.9821428571428571,0.0,2.887532464865357,1.4437662324326785,2.8359693851356185,184.12889039832342,140.50770383735392
77,2021-07-01,2021-7,8.0,2.0,0.25,92.0,6.0,0.06521739130434782,100.0,0.08,0.92,2.82174723204389,1.2946816758227824,2.0582144539333362,1.416846920320471,91.99057390050578,200.3059639646415
78,2021-08-01,2021-8,3.0,0.0,0.0,89.0,13.0,0.14606741573033707,92.0,0.03260869565217391,0.967391304347826,0.0,2.8996990342397897,1.4498495171198948,2.805143630949362,182.12748941573295,141.09973067936525
79,2021-09-01,2021-9,4.0,0.0,0.0,80.0,11.0,0.1375,84.0,0.047619047619047616,0.9523809523809523,0.0,2.7296205331930334,1.3648102665965167,2.599638603040984,168.78481619846315,132.82368878374865
80,2021-10-01,2021-10,3.0,1.0,0.3333333333333333,58.0,4.0,0.06896551724137931,61.0,0.04918032786885246,0.9508196721311475,3.7623296427251867,1.3690886686861607,2.5657091557056737,1.4867890444585716,96.53165455432054,249.6954798390397
81,2021-11-01,2021-11,3.0,0.0,0.0,55.0,3.0,0.05454545454545454,58.0,0.05172413793103448,0.9482758620689655,0.0,1.082824674324509,0.5414123371622545,1.0268165015146204,66.66735686835847,52.690388939007725
82,2021-12-01,2021-12,0.0,0.0,0.0,73.0,2.0,0.0273972602739726,73.0,0.0,1.0,0.0,0.5438845396150501,0.27194226980752506,0.5438845396150501,35.31238993940449,26.46549216114543
83,2022-01-01,2022-1,5.0,2.0,0.4,56.0,8.0,0.14285714285714285,61.0,0.08196721311475409,0.9180327868852459,4.514795571270224,2.8359693851356185,3.6753824782029216,2.9735780889171433,193.06330910864108,357.68917511403026
84,2022-02-01,2022-2,1.0,0.0,0.0,53.0,9.0,0.16981132075471697,54.0,0.018518518518518517,0.9814814814814815,0.0,3.371057948368754,1.685528974184377,3.3086309493248884,214.817038798044,164.0361165082316
