date,ym,vietnam_tuoi_tre_body_count,vietnam_tuoi_tre_epu_count,vietnam_tuoi_tre_ratio,vietnam_news_body_count,vietnam_news_epu_count,vietnam_news_ratio,news_total,vietnam_tuoi_tre_weights,vietnam_news_weights,vietnam_tuoi_tre_z_score,vietnam_news_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2018-03-01,2018-3,213,0.0,0.0,362.0,21.0,0.058011049723756904,575.0,0.37043478260869567,0.6295652173913043,0.0,2.1957784610833815,1.0978892305416907,1.3823857441951029,85.35373395024948,78.55241845368263,85.35373395024948
2018-04-01,2018-4,190,1.0,0.005263157894736842,317.0,18.0,0.056782334384858045,507.0,0.3747534516765286,0.6252465483234714,0.6193005757874656,2.149270309812125,1.3842854427997953,1.5759088710257634,97.30258509406838,99.04366154361477,97.30258509406838
2018-05-01,2018-5,186,2.0,0.010752688172043012,347.0,12.0,0.0345821325648415,533.0,0.34896810506566606,0.651031894934334,1.2652377354797684,1.3089696219220819,1.2871036787009251,1.2937085883793609,79.87847033678631,92.09044405390952,79.87847033678631
2018-06-01,2018-6,263,3.0,0.011406844106463879,355.0,16.0,0.04507042253521127,618.0,0.4255663430420712,0.5744336569579288,1.3422103733796782,1.7059622865989197,1.524086329989299,1.5511617151156503,95.77460191683515,109.04621688818965,95.77460191683515
2018-07-01,2018-7,161,2.0,0.012422360248447204,362.0,19.0,0.052486187845303865,523.0,0.3078393881453155,0.6921606118546845,1.4617032223555086,1.9866567028849642,1.7241799626202363,1.8250553446340227,112.68583243461742,123.36263271876278,112.68583243461742
2018-08-01,2018-8,86,0.0,0.0,374.0,15.0,0.040106951871657755,460.0,0.18695652173913044,0.8130434782608695,0.0,1.5180897687398476,0.7590448843699238,1.2342729858884847,76.20869102700847,54.30858571473093,76.20869102700847
2018-09-01,2018-9,61,0.0,0.0,357.0,9.0,0.025210084033613446,418.0,0.145933014354067,0.854066985645933,0.0,0.9542278546364756,0.4771139273182378,0.8149745074287602,50.31961417094339,34.1368253064023,50.31961417094339
2018-10-01,2018-10,144,1.0,0.006944444444444444,404.0,24.0,0.0594059405940594,548.0,0.26277372262773724,0.7372262773722628,0.8171327041640171,2.2485765287473383,1.5328546164556776,1.8724307062290932,115.61096677310624,109.67357535794063,115.61096677310624
2018-11-01,2018-11,209,1.0,0.004784688995215311,361.0,22.0,0.060941828254847646,570.0,0.36666666666666664,0.6333333333333333,0.5630005234431505,2.30671147131883,1.4348559973809905,1.667350790431081,102.9485556877293,102.6619130524094,102.9485556877293
2018-12-01,2018-12,190,3.0,0.015789473684210527,330.0,14.0,0.04242424242424243,520.0,0.36538461538461536,0.6346153846153846,1.8579017273623968,1.6058016220448166,1.7318516747036066,1.6979151220647015,104.8357133364377,123.91153284553764,104.8357133364377
2019-01-01,2019-1,182,3.0,0.016483516483516484,364.0,29.0,0.07967032967032966,546.0,0.3333333333333333,0.6666666666666666,1.9395677373563482,3.015604694460144,2.477586215908246,2.6569257087588785,164.04866081936171,177.2677823709741,164.04866081936171
2019-02-01,2019-2,149,0.0,0.0,242.0,16.0,0.06611570247933884,391.0,0.38107416879795397,0.618925831202046,0.0,2.5025479824075063,1.2512739912037532,1.548891590134569,95.63443579859886,89.52688069337462,95.63443579859886
2019-03-01,2019-3,175,4.0,0.022857142857142857,363.0,13.0,0.03581267217630854,538.0,0.3252788104089219,0.6747211895910781,2.6895339291341362,1.355546823804066,2.022540376469101,1.7894645625266725,110.48832268755268,144.70989747616125,110.48832268755268
2019-04-01,2019-4,154,0.0,0.0,308.0,23.0,0.07467532467532467,462.0,0.3333333333333333,0.6666666666666666,0.0,2.8265385694156206,1.4132692847078103,1.8843590462770803,116.34746768625534,101.11741435457044,116.34746768625534
2019-05-01,2019-5,145,2.0,0.013793103448275862,332.0,16.0,0.04819277108433735,477.0,0.3039832285115304,0.6960167714884696,1.6229946124085304,1.8241464209114955,1.723570516660013,1.762999644741831,108.85427838327072,123.31902772405057,108.85427838327072
