,date,ym,fiji_sun_news_count,fiji_sun_epu_count,fiji_sun_ratio,fiji_abc_news_count,fiji_abc_epu_count,fiji_abc_ratio,fiji_rnz_news_count,fiji_rnz_epu_count,fiji_rnz_ratio,news_total,fiji_sun_weights,fiji_abc_weights,fiji_rnz_weights,fiji_sun_z_score,fiji_abc_z_score,fiji_rnz_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
55,2019-08-01,2019-8,0.0,0.0,0.0,13.0,1.0,0.07692307692307693,71.0,1.0,0.014084507042253521,84.0,0.0,0.15476190476190477,0.8452380952380952,0.0,0.4916749617719254,0.6523559387022214,0.38134363349138223,0.6274886446534851,65.37360271455267,65.84404510181844
56,2019-09-01,2019-9,0.0,0.0,0.0,6.0,0.0,0.0,73.0,0.0,0.0,79.0,0.0,0.0759493670886076,0.9240506329113924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2019-10-01,2019-10,0.0,0.0,0.0,3.0,0.0,0.0,43.0,0.0,0.0,46.0,0.0,0.06521739130434782,0.9347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2019-11-01,2019-11,0.0,0.0,0.0,3.0,0.0,0.0,49.0,0.0,0.0,52.0,0.0,0.057692307692307696,0.9423076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2019-12-01,2019-12,1.0,1.0,1.0,4.0,0.0,0.0,37.0,0.0,0.0,42.0,0.023809523809523808,0.09523809523809523,0.8809523809523809,8.40518331211202,0.0,0.0,2.801727770704007,0.20012341219314334,20.849442542215026,483.7555251893848
60,2020-01-01,2020-1,0.0,0.0,0.0,2.0,1.0,0.5,40.0,0.0,0.0,42.0,0.0,0.047619047619047616,0.9523809523809523,0.0,3.1958872515175147,0.0,1.0652957505058382,0.15218510721511974,15.855089686358973,183.93746553701695
61,2020-02-01,2020-2,0.0,0.0,0.0,0.0,0.0,0.0,54.0,3.0,0.05555555555555555,54.0,0.0,0.0,1.0,0.0,0.0,2.5731817582143175,0.8577272527381058,2.5731817582143175,268.08160339974154,148.09800650735903
62,2020-03-01,2020-3,0.0,0.0,0.0,3.0,0.0,0.0,47.0,2.0,0.0425531914893617,50.0,0.0,0.06,0.94,0.0,0.0,1.970947729696073,0.6569825765653576,1.8526908659143084,193.01875444781388,113.43677094180693
63,2020-04-01,2020-4,0.0,0.0,0.0,4.0,2.0,0.5,81.0,6.0,0.07407407407407407,85.0,0.0,0.047058823529411764,0.9529411764705882,0.0,3.1958872515175147,3.430909010952423,2.208932087489979,3.4198491634496038,356.2898905979557,381.40147421349565
64,2020-05-01,2020-5,0.0,0.0,0.0,3.0,1.0,0.3333333333333333,56.0,2.0,0.03571428571428571,59.0,0.0,0.05084745762711865,0.9491525423728814,0.0,2.1305915010116765,1.6541882731377755,1.2615932580498173,1.6784121660805162,174.86188964775886,217.83083835083733
65,2020-06-01,2020-6,0.0,0.0,0.0,7.0,1.0,0.14285714285714285,50.0,1.0,0.02,57.0,0.0,0.12280701754385964,0.8771929824561403,0.0,0.9131106432907184,0.9263454329571543,0.6131520254159576,0.9247201079103989,96.34004610565655,105.8688439246541
66,2020-07-01,2020-7,0.0,0.0,0.0,4.0,0.0,0.0,61.0,6.0,0.09836065573770492,65.0,0.0,0.06153846153846154,0.9384615384615385,0.0,0.0,4.555797211264693,1.5185990704215644,4.27544045980225,445.4278948795705,262.20630660319307
67,2020-08-01,2020-8,0.0,0.0,0.0,3.0,0.0,0.0,62.0,5.0,0.08064516129032258,65.0,0.0,0.046153846153846156,0.9538461538461539,0.0,0.0,3.7352638425691707,1.245087947523057,3.562867049835209,371.18991239964214,214.98097718810186
68,2020-09-01,2020-9,0.0,0.0,0.0,1.0,0.0,0.0,60.0,3.0,0.05,61.0,0.0,0.01639344262295082,0.9836065573770492,0.0,0.0,2.3158635823928857,0.7719545274642953,2.2778986056323465,237.31814071452527,133.28820585662314
69,2020-10-01,2020-10,0.0,0.0,0.0,5.0,1.0,0.2,60.0,3.0,0.05,65.0,0.0,0.07692307692307693,0.9230769230769231,0.0,1.278354900607006,2.3158635823928857,1.1980728276666306,2.236055222255511,232.95877462174033,206.86319207142992
70,2020-11-01,2020-11,13.0,2.0,0.15384615384615385,1.0,0.0,0.0,61.0,1.0,0.01639344262295082,75.0,0.17333333333333334,0.013333333333333334,0.8133333333333334,1.2931051249403112,0.0,0.7592995352107823,0.6841348867170312,0.8417018436277569,87.69096046321881,118.12497805274523
71,2020-12-01,2020-12,136.0,1.0,0.007352941176470588,7.0,0.0,0.0,46.0,0.0,0.0,189.0,0.7195767195767195,0.037037037037037035,0.24338624338624337,0.06180281847141192,0.0,0.0,0.02060093949047064,0.044471869376254074,4.633209453825561,3.557025920510182
72,2021-01-01,2021-1,2.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,20.0,0.1,0.05,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2021-02-01,2021-2,13.0,0.0,0.0,6.0,0.0,0.0,21.0,0.0,0.0,40.0,0.325,0.15,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2021-03-01,2021-3,17.0,1.0,0.058823529411764705,3.0,0.0,0.0,45.0,4.0,0.08888888888888889,65.0,0.26153846153846155,0.046153846153846156,0.6923076923076923,0.49442254777129535,0.0,4.117090813142908,1.5371711203047342,2.979604152362198,310.42387740852956,265.4130177758559
75,2021-04-01,2021-4,36.0,0.0,0.0,5.0,1.0,0.2,38.0,5.0,0.13157894736842105,79.0,0.45569620253164556,0.06329113924050633,0.4810126582278481,0.0,1.278354900607006,6.09437784840233,2.457577583003112,3.01238142711802,313.83870978232676,424.3334226796045
76,2021-05-01,2021-5,11.0,0.0,0.0,2.0,0.0,0.0,47.0,9.0,0.19148936170212766,60.0,0.18333333333333332,0.03333333333333333,0.7833333333333333,0.0,0.0,8.869264783632328,2.9564215945441092,6.947590747178657,723.8203291793021,510.4654692381311
77,2021-06-01,2021-6,17.0,1.0,0.058823529411764705,11.0,2.0,0.18181818181818182,59.0,9.0,0.15254237288135594,87.0,0.19540229885057472,0.12643678160919541,0.6781609195402298,0.49442254777129535,1.1621408187336417,7.0653465225545675,2.9073032963531684,5.034990541941397,524.560044496383,501.9845424378101
78,2021-07-01,2021-7,20.0,0.0,0.0,11.0,2.0,0.18181818181818182,84.0,3.0,0.03571428571428571,115.0,0.17391304347826086,0.09565217391304348,0.7304347826086957,0.0,1.1621408187336417,1.6541882731377755,0.938776363957139,1.3194379473882016,137.46290536730604,162.09221243052917
79,2021-08-01,2021-8,11.0,0.0,0.0,3.0,1.0,0.3333333333333333,66.0,4.0,0.06060606060606061,80.0,0.1375,0.0375,0.825,0.0,2.1305915010116765,2.8071073725974376,1.6458996245363713,2.3957607636808236,249.59736514510584,284.1864386690697
80,2021-09-01,2021-9,20.0,0.0,0.0,2.0,1.0,0.5,45.0,2.0,0.044444444444444446,67.0,0.29850746268656714,0.029850746268656716,0.6716417910447762,0.0,3.1958872515175147,2.058545406571454,1.7514775526963229,1.4780047432649324,153.98285804802646,302.4158707429042
81,2021-10-01,2021-10,43.0,2.0,0.046511627906976744,8.0,2.0,0.25,25.0,1.0,0.04,76.0,0.5657894736842105,0.10526315789473684,0.32894736842105265,0.3909387587028847,1.5979436257587574,1.8526908659143086,1.2805244167919836,0.9988314115546292,104.06117853152058,221.09955443935976
82,2021-11-01,2021-11,105.0,3.0,0.02857142857142857,8.0,3.0,0.375,32.0,1.0,0.03125,145.0,0.7241379310344828,0.05517241379310345,0.2206896551724138,0.24014809463177203,2.396915438638136,1.4474147389955536,1.3614927574218205,0.6255734144365439,65.17406842755636,235.07981424713458
