,date,ym,samoa_rnz_news_count,samoa_rnz_epu_count,samoa_rnz_ratio,samoa_observer_news_count,samoa_observer_epu_count,samoa_observer_ratio,news_total,samoa_rnz_weights,samoa_observer_weights,samoa_rnz_z_score,samoa_observer_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
61,2020-03-01,2020-3,48.0,0.0,0.0,369.0,14.0,0.037940379403794036,417.0,0.11510791366906475,0.8848920863309353,0.0,2.459665010599858,1.229832505299929,2.1765381029049107,232.20544400780707,151.61640039197763
62,2020-04-01,2020-4,42.0,2.0,0.047619047619047616,346.0,19.0,0.05491329479768786,388.0,0.10824742268041238,0.8917525773195877,4.476261869271159,3.5600147376786966,4.018138303474927,3.659196128211901,390.38382122925526,495.36474538166647
63,2020-05-01,2020-5,68.0,1.0,0.014705882352941176,393.0,14.0,0.035623409669211195,461.0,0.1475054229934924,0.8524945770065075,1.3823749890396229,2.3094564603342183,1.8459157246869204,2.1727069157614793,231.7967112084455,227.56846676102882
64,2020-06-01,2020-6,39.0,1.0,0.02564102564102564,379.0,19.0,0.05013192612137203,418.0,0.09330143540669857,0.9066985645933014,2.4102948526844705,3.2500398396750105,2.8301673461797403,3.171690427013214,338.37394478735223,348.90912680019
65,2020-07-01,2020-7,40.0,0.0,0.0,431.0,20.0,0.04640371229698376,471.0,0.08492569002123142,0.9150743099787686,0.0,3.008340699076393,1.5041703495381964,2.7528552893883766,293.6902340044148,185.43736077109628
66,2020-08-01,2020-8,38.0,1.0,0.02631578947368421,407.0,20.0,0.04914004914004914,445.0,0.0853932584269663,0.9146067415730337,2.4737236645972196,3.185736710815541,2.8297301877063803,3.1249355967564485,333.3858740043083,348.8552329619266
67,2020-09-01,2020-9,36.0,0.0,0.0,396.0,14.0,0.03535353535353535,432.0,0.08333333333333333,0.9166666666666666,0.0,2.291960578058959,1.1459802890294795,2.1009638632207124,224.14275497975822,141.27891854707008
68,2020-10-01,2020-10,28.0,0.0,0.0,445.0,22.0,0.04943820224719101,473.0,0.05919661733615222,0.9408033826638478,0.0,3.205065899847456,1.602532949923728,3.0153368402370355,321.6932563164636,197.5637140260152
69,2020-11-01,2020-11,34.0,1.0,0.029411764705882353,447.0,22.0,0.049217002237136466,481.0,0.07068607068607069,0.9293139293139293,2.7647499780792457,3.190725560250823,2.977737769165034,3.160615020138903,337.19235749173623,367.10192642203384
70,2020-12-01,2020-12,21.0,0.0,0.0,407.0,16.0,0.03931203931203931,428.0,0.04906542056074766,0.9509345794392523,0.0,2.5485893686524332,1.2742946843262166,2.423541759442851,258.5571966655689,157.09779359674204
71,2021-01-01,2021-1,16.0,0.0,0.0,392.0,19.0,0.04846938775510204,408.0,0.0392156862745098,0.9607843137254902,0.0,3.1422579062164004,1.5711289531082002,3.01903210597262,322.08748824822396,193.69216165236065
72,2021-02-01,2021-2,15.0,1.0,0.06666666666666667,286.0,6.0,0.02097902097902098,301.0,0.04983388704318937,0.9501661129568106,6.2667666169796234,1.3600645188481735,3.8134155679138986,1.6045845569610364,171.18619196233104,470.1260855557155
73,2021-03-01,2021-3,19.0,0.0,0.0,370.0,11.0,0.02972972972972973,389.0,0.04884318766066838,0.9511568123393316,0.0,1.9273707100434025,0.9636853550217013,1.833231780761077,195.57957614098623,118.80520640753616
74,2021-04-01,2021-4,30.0,0.0,0.0,348.0,12.0,0.034482758620689655,378.0,0.07936507936507936,0.9206349206349206,0.0,2.235508347072285,1.1177541735361425,2.0580870496855956,219.5684130413958,137.79914222817672
75,2021-05-01,2021-5,51.0,1.0,0.0196078431372549,384.0,15.0,0.0390625,435.0,0.11724137931034483,0.8827586206896552,1.8431666520528305,2.532411799417823,2.187789225735327,2.4516037476577894,261.5510089147066,269.7153683878656
76,2021-06-01,2021-6,35.0,0.0,0.0,334.0,16.0,0.04790419161676647,369.0,0.0948509485094851,0.9051490514905149,0.0,3.105616386351917,1.5528081931759585,2.8110457263998385,299.8983202516626,191.4335389038144
77,2021-07-01,2021-7,54.0,2.0,0.037037037037037035,313.0,7.0,0.022364217252396165,367.0,0.14713896457765668,0.8528610354223434,3.481537009433124,1.4498664359606193,2.4657017226968714,1.7488043405042575,186.57237740409656,303.9770196547426
78,2021-08-01,2021-8,23.0,0.0,0.0,279.0,13.0,0.04659498207885305,302.0,0.076158940397351,0.9238410596026491,0.0,3.0207406696998262,1.5103703348499131,2.7906842610803033,297.7260435114291,186.2017083154933
79,2021-09-01,2021-9,21.0,0.0,0.0,211.0,11.0,0.052132701421800945,232.0,0.09051724137931035,0.9094827586206896,0.0,3.3797495863320326,1.6898747931660163,3.0738239772243916,327.93299620191226,208.33140460089277
80,2021-10-01,2021-10,13.0,1.0,0.07692307692307693,197.0,4.0,0.02030456852791878,210.0,0.06190476190476191,0.9380952380952381,7.230884558053412,1.316339940408046,4.273612249230729,1.6824784167384736,179.4963512335891,526.8601237218118
81,2021-11-01,2021-11,13.0,0.0,0.0,181.0,3.0,0.016574585635359115,194.0,0.06701030927835051,0.9329896907216495,0.0,1.0745261115761813,0.5372630557880906,1.002521784511798,106.95471666191703,66.23494681685844
82,2021-12-01,2021-12,5.0,0.0,0.0,184.0,2.0,0.010869565217391304,189.0,0.026455026455026454,0.9735449735449735,0.0,0.7046711094032203,0.35233555470161015,0.6860290165618652,73.1894710137986,43.436686137142665
83,2022-01-01,2022-1,17.0,2.0,0.11764705882352941,168.0,8.0,0.047619047619047616,185.0,0.0918918918918919,0.9081081081081082,11.058999912316983,3.0871305745283935,7.073065243422688,3.8196807298927506,407.50522982760765,871.9827190482513
84,2022-02-01,2022-2,10.0,0.0,0.0,198.0,9.0,0.045454545454545456,208.0,0.04807692307692308,0.9519230769230769,0.0,2.9468064575043758,1.4734032287521879,2.8051330701243575,299.2675245059409,181.64432384623296
85,2022-03-01,2022-3,30.0,1.0,0.03333333333333333,252.0,8.0,0.031746031746031744,282.0,0.10638297872340426,0.8936170212765957,3.1333833084898117,2.0580870496855956,2.5957351790877037,2.1724802687073206,231.7725312137219,320.00782425906317
86,2022-04-01,2022-4,15.0,0.0,0.0,156.0,5.0,0.03205128205128205,171.0,0.08771929824561403,0.9122807017543859,0.0,2.077876348240265,1.0389381741201325,1.8956064931314696,202.23406464339084,128.08253604542068
87,2022-05-01,2022-5,18.0,0.0,0.0,168.0,5.0,0.02976190476190476,186.0,0.0967741935483871,0.9032258064516129,0.0,1.9294566090802459,0.9647283045401229,1.7427350017498995,185.9248658818271,118.93378347074777
