,date,ym,daily_posts_news_count,daily_posts_epu_count,daily_posts_ratio,vanuatu_abc_news_count,vanuatu_abc_epu_count,vanuatu_abc_ratio,vbr_news_count,vbr_epu_count,vbr_ratio,news_total,daily_posts_weights,vanuatu_abc_weights,vbr_weights,daily_posts_z_score,vanuatu_abc_z_score,vbr_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
46,2018-11-01,2018-11,260,9,0.03461538461538462,3.0,0.0,0.0,0.0,0.0,0.0,263.0,0.9885931558935361,0.011406844106463879,0.0,2.3528077933796183,0.0,0.0,0.7842692644598728,2.325969681668064,239.74203577959523,102.22319238373676
47,2018-12-01,2018-12,221,10,0.04524886877828054,2.0,0.0,0.0,0.0,0.0,0.0,223.0,0.9910313901345291,0.008968609865470852,0.0,3.075565742979893,0.0,0.0,1.0251885809932977,3.047982193715499,314.1612128053489,133.62508808331603
48,2019-01-01,2019-1,198,6,0.030303030303030304,5.0,0.0,0.0,0.0,0.0,0.0,203.0,0.9753694581280788,0.024630541871921183,0.0,2.0596970581774436,0.0,0.0,0.6865656860591479,2.0089656035425314,207.06783385889506,89.48831656488741
49,2019-02-01,2019-2,234,9,0.038461538461538464,2.0,0.0,0.0,0.0,0.0,0.0,236.0,0.9915254237288136,0.00847457627118644,0.0,2.614230881532909,0.0,0.0,0.871410293844303,2.5920763825368676,267.170150042515,113.58132487081862
50,2019-03-01,2019-3,283,7,0.024734982332155476,3.0,0.0,0.0,0.0,0.0,0.0,286.0,0.9895104895104895,0.01048951048951049,0.0,1.6812368213391853,0.0,0.0,0.5604122737797285,1.6636014700663966,171.4705081080943,73.04523366250527
51,2019-04-01,2019-4,236,4,0.01694915254237288,1.0,0.0,0.0,0.0,0.0,0.0,237.0,0.9957805907172996,0.004219409282700422,0.0,1.1520339477941632,0.0,0.0,0.38401131593138776,1.1471730450608546,118.24126659171783,50.05278723120821
52,2019-05-01,2019-5,259,9,0.03474903474903475,2.0,0.0,0.0,0.0,0.0,0.0,261.0,0.9923371647509579,0.007662835249042145,0.0,2.3618919933540568,0.0,0.0,0.7872973311180189,2.343793204132953,241.5791395020442,102.6178765242145
53,2019-06-01,2019-6,246,12,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,246.0,1.0,0.0,0.0,3.315609898529543,0.0,0.0,1.1052032995098477,3.315609898529543,341.7460997833796,144.05436325079435
54,2019-07-01,2019-7,274,8,0.029197080291970802,1.0,0.0,0.0,0.0,0.0,0.0,275.0,0.9963636363636363,0.0036363636363636364,0.0,1.9845256326965148,0.0,0.0,0.6615085442321716,1.9773091758503456,203.80494677990635,86.2223196099645
55,2019-08-01,2019-8,279,6,0.021505376344086023,2.0,0.0,0.0,0.0,0.0,0.0,281.0,0.9928825622775801,0.0071174377224199285,0.0,1.4617204929001213,0.0,0.0,0.4872401643000404,1.4513167883243197,149.58992979841884,63.50783756217815
56,2019-09-01,2019-9,288,9,0.03125,1.0,0.0,0.0,0.0,0.0,0.0,289.0,0.9965397923875432,0.0034602076124567475,0.0,2.1240625912454885,0.0,0.0,0.7080208637484962,2.116712893697926,218.1735481316039,92.28482645754012
57,2019-10-01,2019-10,289,8,0.02768166089965398,1.0,0.0,0.0,0.0,0.0,0.0,290.0,0.996551724137931,0.0034482758620689655,0.0,1.8815225721759345,0.0,0.0,0.6271741907253116,1.8750345633063623,193.26331160163534,81.74711270979334
58,2019-11-01,2019-11,278,11,0.039568345323741004,1.0,0.0,0.0,0.0,0.0,0.0,279.0,0.996415770609319,0.0035842293906810036,0.0,2.6894605471885322,0.0,0.0,0.896486849062844,2.679820903650222,276.2141415811903,116.84985220523066
59,2019-12-01,2019-12,232,8,0.034482758620689655,2.0,0.0,0.0,0.0,0.0,0.0,234.0,0.9914529914529915,0.008547008547008548,0.0,2.343793204132953,0.0,0.0,0.781264401377651,2.323760783584808,239.51436053194126,101.8315326428029
60,2020-01-01,2020-1,196,4,0.02040816326530612,3.0,0.0,0.0,0.0,0.0,0.0,199.0,0.9849246231155779,0.01507537688442211,0.0,1.3871429167317475,0.0,0.0,0.46238097224391583,1.36623121446946,140.82000091576444,60.26764176818946
61,2020-02-01,2020-2,182,5,0.027472527472527472,1.0,0.0,0.0,0.0,0.0,0.0,183.0,0.994535519125683,0.00546448087431694,0.0,1.8673077725235063,0.0,0.0,0.6224359241745021,1.8571039049140883,191.41516517921534,81.12951776487044
62,2020-03-01,2020-3,332,9,0.02710843373493976,2.0,0.0,0.0,0.0,0.0,0.0,334.0,0.9940119760479041,0.005988023952095809,0.0,1.8425603201165683,0.0,0.0,0.6141867733721894,1.831527024786529,188.77890841327405,80.05430728846854
63,2020-04-01,2020-4,234,14,0.05982905982905983,9.0,2.0,0.2222222222222222,5.0,0.0,0.0,248.0,0.9435483870967742,0.036290322580645164,0.020161290322580645,4.066581371273414,1.2324715440210305,0.0,1.7663509717648147,3.8817430837668074,400.09850369512486,230.22964610026932
64,2020-05-01,2020-5,287,9,0.0313588850174216,4.0,2.0,0.5,1.0,0.0,0.0,292.0,0.9828767123287672,0.0136986301369863,0.003424657534246575,2.1314635061975635,2.773060974047319,0.0,1.6348414934149609,2.132952980050993,219.84744413902243,213.08844305325152
65,2020-06-01,2020-6,260,9,0.03461538461538462,1.0,0.0,0.0,27.0,1.0,0.037037037037037035,288.0,0.9027777777777778,0.003472222222222222,0.09375,2.3528077933796183,0.0,1.7026275917202813,1.3518117950333,2.2836839279692653,235.38356423281465,176.19779768554716
66,2020-07-01,2020-7,210,7,0.03333333333333333,4.0,1.0,0.25,23.0,0.0,0.0,237.0,0.8860759493670886,0.016877637130801686,0.0970464135021097,2.265666763995188,1.3865304870236594,0.0,1.2173990836729491,2.0309541872872745,209.33423822023408,158.67818156024657
67,2020-08-01,2020-8,269,14,0.05204460966542751,6.0,4.0,0.6666666666666666,29.0,0.0,0.0,304.0,0.8848684210526315,0.019736842105263157,0.09539473684210527,3.5374722709218545,3.697414632063092,0.0,2.411628967661649,3.203172791678807,330.1569973518156,314.33644424310177
68,2020-09-01,2020-9,253,16,0.06324110671936758,5.0,2.0,0.4,19.0,1.0,0.05263157894736842,277.0,0.9133574007220217,0.018050541516245487,0.06859205776173286,4.298498208370316,2.2184487792378556,2.4195234198130313,2.9788234691404014,4.132069442564356,425.9001086517204,388.265686750892
69,2020-10-01,2020-10,287,23,0.08013937282229965,3.0,1.0,0.3333333333333333,22.0,1.0,0.045454545454545456,312.0,0.9198717948717948,0.009615384615384616,0.07051282051282051,5.4470734047271065,1.848707316031546,2.0895884080203455,3.1284563762596656,5.175727993850069,533.4719431928238,407.7691330091419
70,2020-11-01,2020-11,227,17,0.07488986784140969,4.0,2.0,0.5,23.0,3.0,0.13043478260869565,254.0,0.8937007874015748,0.015748031496062992,0.09055118110236221,5.0902645358482195,2.773060974047319,5.996210214319253,4.6198452414049305,5.135807592374322,529.3572729138583,602.1596794571184
71,2020-12-01,2020-12,240,8,0.03333333333333333,3.0,0.0,0.0,18.0,2.0,0.1111111111111111,261.0,0.9195402298850575,0.011494252873563218,0.06896551724137931,2.265666763995188,0.0,5.107882775160844,2.457849846385344,2.435639514604369,251.04591012455327,320.36096412680735
72,2021-01-01,2021-1,225,13,0.057777777777777775,1.0,0.0,0.0,17.0,0.0,0.0,243.0,0.9259259259259259,0.00411522633744856,0.06995884773662552,3.9271557242583253,0.0,0.0,1.3090519080861085,3.63625530023919,374.7956197212784,170.6243902503853
73,2021-02-01,2021-2,247,11,0.044534412955465584,3.0,0.0,0.0,5.0,0.0,0.0,255.0,0.9686274509803922,0.011764705882352941,0.0196078431372549,3.0270041786170525,0.0,0.0,1.009001392872351,2.9320393416408312,302.2107666711847,131.5152182714742
74,2021-03-01,2021-3,239,11,0.04602510460251046,3.0,0.0,0.0,10.0,0.0,0.0,252.0,0.9484126984126984,0.011904761904761904,0.03968253968253968,3.128326494219297,0.0,0.0,1.042775498073099,2.96694457189846,305.80851389346066,135.91740130984988
75,2021-04-01,2021-4,265,14,0.052830188679245285,4.0,1.0,0.25,9.0,1.0,0.1111111111111111,278.0,0.9532374100719424,0.014388489208633094,0.03237410071942446,3.590868078784826,1.3865304870236594,5.107882775160844,3.3617604469897766,3.6082629777069104,371.91039879901984,438.1784426517657
76,2021-05-01,2021-5,259,14,0.05405405405405406,1.0,0.0,0.0,9.0,1.0,0.1111111111111111,269.0,0.9628252788104089,0.0037174721189591076,0.03345724907063197,3.6740542118840884,0.0,5.107882775160844,2.9273123290149776,3.7083679771540017,382.22840790649445,381.5516238319871
77,2021-06-01,2021-6,219,11,0.0502283105022831,4.0,0.0,0.0,19.0,0.0,0.0,242.0,0.9049586776859504,0.01652892561983471,0.07851239669421488,3.414018411499598,0.0,0.0,1.1380061371665326,3.0895455872661652,318.4452293436037,148.32994937467637
78,2021-07-01,2021-7,236,7,0.029661016949152543,3.0,1.0,0.3333333333333333,23.0,2.0,0.08695652173913043,262.0,0.9007633587786259,0.011450381679389313,0.08778625954198473,2.016059408639786,1.848707316031546,3.9974734762128348,2.620746733628055,2.1880840929006844,225.52991082530394,341.5932635396776
79,2021-08-01,2021-8,225,7,0.03111111111111111,3.0,1.0,0.3333333333333333,13.0,2.0,0.15384615384615385,241.0,0.9336099585062241,0.012448132780082987,0.05394190871369295,2.114622313062175,1.848707316031546,7.072453073299632,3.678594234131117,2.37874702215759,245.1818947561395,479.47517917365735
80,2021-09-01,2021-9,268,5,0.018656716417910446,2.0,0.0,0.0,35.0,1.0,0.02857142857142857,305.0,0.8786885245901639,0.006557377049180328,0.11475409836065574,1.2680970694002915,0.0,1.3134555707556457,0.8605175467186458,1.2649867527072973,130.38454530102777,112.16154287058899
81,2021-10-01,2021-10,272,8,0.029411764705882353,4.0,1.0,0.25,22.0,1.0,0.045454545454545456,298.0,0.912751677852349,0.013422818791946308,0.0738255033557047,1.9991177329369303,1.3865304870236594,2.0895884080203455,1.8250788759936452,1.9975741284677424,205.89369326433498,237.88435619070225
82,2021-11-01,2021-11,250,9,0.036,3.0,1.0,0.3333333333333333,27.0,1.0,0.037037037037037035,280.0,0.8928571428571429,0.010714285714285714,0.09642857142857143,2.4469201051148026,1.848707316031546,1.7026275917202813,1.9994183376222099,2.3687396185830103,244.15041299403967,260.60810316605716
83,2021-12-01,2021-12,220,8,0.03636363636363636,2.0,1.0,0.5,15.0,0.0,0.0,237.0,0.9282700421940928,0.008438818565400843,0.06329113924050633,2.471636469812932,2.773060974047319,0.0,1.74823248128675,2.317747448552488,238.89455486816348,227.8680465556057
84,2022-01-01,2022-1,184,14,0.07608695652173914,4.0,1.0,0.25,16.0,1.0,0.0625,204.0,0.9019607843137255,0.0196078431372549,0.0784313725490196,5.1716306569455375,1.3865304870236594,2.873184061027975,3.1437817349990573,4.917142685306477,506.8190728731742,409.7666702909906
85,2022-02-01,2022-2,212,8,0.03773584905660377,2.0,0.0,0.0,19.0,1.0,0.05263157894736842,233.0,0.9098712446351931,0.008583690987124463,0.0815450643776824,2.56490577056059,0.0,2.4195234198130313,1.6614763967912072,2.531034198863917,260.8784182553276,216.5600885394831
86,2022-03-01,2022-3,212,4,0.018867924528301886,1.0,0.0,0.0,22.0,0.0,0.0,235.0,0.902127659574468,0.00425531914893617,0.09361702127659574,1.282452885280295,0.0,0.0,0.42748429509343167,1.1569362199124362,119.24757524356222,55.71914050266574
87,2022-04-01,2022-4,179,8,0.0446927374301676,1.0,0.0,0.0,19.0,2.0,0.10526315789473684,199.0,0.8994974874371859,0.005025125628140704,0.09547738693467336,3.037765493624833,0.0,4.839046839626063,2.6256041110836317,3.1944819764409056,329.26121880657485,342.2263836332768
88,2022-05-01,2022-5,263,7,0.026615969581749048,3.0,0.0,0.0,57.0,0.0,0.0,323.0,0.8142414860681114,0.009287925696594427,0.17647058823529413,1.8090875301862714,0.0,0.0,0.6030291767287571,1.473034119006159,151.82837560035594,78.60000428322807
89,2022-06-01,2022-6,256,4,0.015625,3.0,2.0,0.6666666666666666,23.0,2.0,0.08695652173913043,282.0,0.9078014184397163,0.010638297872340425,0.08156028368794327,1.0620312956227442,3.697414632063092,3.9974734762128348,2.9189731346328904,1.3294827855620814,137.0322717689088,380.4646768989939
90,2022-07-01,2022-7,223,3,0.013452914798206279,2.0,1.0,0.5,1.0,0.0,0.0,226.0,0.9867256637168141,0.008849557522123894,0.004424778761061947,0.9143946581146498,2.773060974047319,0.0,1.229151877387323,0.9267970385294758,95.5267003360989,160.21006371775815
91,2022-08-01,2022-8,246,8,0.032520325203252036,5.0,0.0,0.0,1.0,0.0,0.0,252.0,0.9761904761904762,0.01984126984126984,0.003968253968253968,2.2104065990196955,0.0,0.0,0.7368021996732318,2.1577778704716075,222.40619192251688,96.03624216719622
92,2022-09-01,2022-9,220,8,0.03636363636363636,2.0,0.0,0.0,1.0,0.0,0.0,223.0,0.9865470852017937,0.008968609865470852,0.004484304932735426,2.471636469812932,0.0,0.0,0.8238788232709773,2.438385754972399,251.3289702442791,107.38597987786486
93,2022-10-01,2022-10,204,5,0.024509803921568627,2.0,1.0,0.5,0.0,0.0,0.0,206.0,0.9902912621359223,0.009708737864077669,0.0,1.6659314441141087,2.773060974047319,0.0,1.4796641393871426,1.6766802745018097,172.81856488872288,192.8623227228704
94,2022-11-01,2022-11,252,4,0.015873015873015872,4.0,2.0,0.5,1.0,0.0,0.0,257.0,0.980544747081712,0.01556420233463035,0.0038910505836575876,1.0788889352358038,2.773060974047319,0.0,1.2839833030943744,1.1010593602163883,113.48824303812505,167.35689916411047
95,2022-12-01,2022-12,242,9,0.0371900826446281,3.0,0.0,0.0,0.0,0.0,0.0,245.0,0.9877551020408163,0.012244897959183673,0.0,2.5278100259450444,0.0,0.0,0.8426033419816815,2.496857250117146,257.3557363674838,109.82657032963455
96,2023-01-01,2023-1,157,6,0.03821656050955414,1.0,1.0,1.0,0.0,0.0,0.0,158.0,0.9936708860759493,0.006329113924050633,0.0,2.597579729421234,5.546121948094638,0.0,2.7145672258386235,2.616241389033091,269.6608823584569,353.8220102971868
97,2023-02-01,2023-2,232,6,0.02586206896551724,5.0,1.0,0.2,1.0,0.0,0.0,238.0,0.9747899159663865,0.02100840336134454,0.004201680672268907,1.7578449030997145,1.1092243896189278,0.0,0.9556897642395473,1.7368325187698672,179.01856896065627,124.56647615319851
98,2023-03-01,2023-3,243,6,0.024691358024691357,8.0,0.0,0.0,0.0,0.0,0.0,251.0,0.9681274900398407,0.03187250996015936,0.0,1.6782716770334722,0.0,0.0,0.5594238923444907,1.6247809462913696,167.46920427631747,72.91640608990824
99,2023-04-01,2023-4,214,7,0.03271028037383177,5.0,0.0,0.0,12.0,2.0,0.16666666666666666,231.0,0.9264069264069265,0.021645021645021644,0.05194805194805195,2.223317852518642,0.0,7.661824162741267,3.2950473384199697,2.4577138978003665,253.32115799545076,429.48292538379627
100,2023-05-01,2023-5,200,7,0.035,3.0,0.0,0.0,1.0,0.0,0.0,204.0,0.9803921568627451,0.014705882352941176,0.004901960784313725,2.3789501021949473,0.0,0.0,0.7929833673983158,2.332304021759752,240.3949280338969,103.35900563244495
101,2023-06-01,2023-6,221,9,0.04072398190045249,3.0,0.0,0.0,5.0,0.0,0.0,229.0,0.9650655021834061,0.013100436681222707,0.021834061135371178,2.7680091686819037,0.0,0.0,0.9226697228939679,2.671310158422274,275.33692318791935,120.26257927498442
