Day of Date,Destination Country,Destination Iso Country,Destination Region,Passenger,Type,fl_wow_change,fl_yoy_change,Flights Number 7Days,Lastwk Flights Number 7Days,Lastyr Flights Number 7Days,ask_wow_change,ask_yoy_change,Av Seat Km,Av Seat Km 7Days,Date,Destination Iso3,Flights Number,Lastwk Av Seat Km 7Days,Lastwk Passengers Number 7Days,Lastwk Payload 7Days,Lastyr Av Seat Km 7Days,Lastyr Passengers Number 7Days,Lastyr Payload 7Days,Passengers Number,Passengers Number 7Days,Payload,Payload 7Days,pl_wow_change,pl_yoy_change,psg_wow_change,psg_yoy_change
9-Jan-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-5.71%,,33,35,,-4.32%,,68069.90218,671322.8303,1/9/23,VUT,4,701633.3584,2850,8508,,,,280,2710,0,8508,0.00%,,-4.91%,
20-Jan-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-30.00%,,21,30,,-32.60%,,86949.58921,424344.4298,1/20/23,VUT,5,629581.4611,2500,8508,,,,350,1670,0,4254,-50.00%,,-33.20%,
2-Feb-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-4.88%,,39,41,,8.73%,,137167.1292,780876.5295,2/2/23,VUT,5,718200.8236,2870,,,,,550,3130,4254,8508,,,9.06%,
7-Feb-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-11.90%,,37,42,,-6.62%,,91701.33699,731686.3144,2/7/23,VUT,2,783573.6277,3140,4254,,,,340,2990,4254,8508,100.00%,,-4.78%,
14-Feb-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-35.14%,,24,37,,-41.13%,,37759.37406,430765.9509,2/14/23,VUT,2,731686.3144,2990,8508,,,,140,1680,0,0,-100.00%,,-43.81%,
21-Mar-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,,,10,,,,,37759.37406,289231.9502,3/21/23,VUT,2,,,,,,,140,1100,0,8508,,,,
6-Apr-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-7.41%,,25,27,,-8.71%,,49190.21515,434747.946,4/6/23,VUT,3,476231.7431,1890,,,,,210,1750,0,0,,,-7.41%,
8-Apr-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-23.33%,,23,30,,-23.57%,,86949.58921,404437.4179,4/8/23,VUT,5,529146.3812,2100,,,,,350,1610,0,0,,,-23.33%,
17-Apr-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,3.33%,,31,30,,2.16%,,30310.52812,540577.2223,4/17/23,VUT,2,529146.3812,2100,,,,,140,2170,0,0,,,3.33%,
9-May-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,1300.00%,,28,2,,1201.36%,,37759.37406,491387.0071,5/9/23,VUT,2,37759.37406,140,,,,,140,1960,0,0,,,1300.00%,
18-May-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-14.81%,,23,27,,-14.41%,,37759.37406,404437.4179,5/18/23,VUT,2,472507.3201,1890,,,,,140,1610,0,0,,,-14.81%,
20-May-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-14.81%,,23,27,,-14.41%,,68069.90218,404437.4179,5/20/23,VUT,4,472507.3201,1890,,,,,280,1610,0,0,,,-14.81%,
22-May-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,42.86%,,30,21,,51.66%,,68069.90218,556117.3626,5/22/23,VUT,4,366678.0439,1470,,,,,280,2200,0,2127,,,49.66%,
31-May-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,3.45%,,30,29,,-2.89%,,105829.2762,521697.5352,5/31/23,VUT,6,537237.6756,2130,2127,,,,420,2100,0,0,-100.00%,,-1.41%,
1-Jun-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-3.23%,,30,31,,-8.08%,,68069.90218,521697.5352,6/1/23,VUT,4,567548.2037,2270,2127,,,,280,2100,0,0,-100.00%,,-7.49%,
3-Jun-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-3.23%,,30,31,,-8.08%,,68069.90218,521697.5352,6/3/23,VUT,4,567548.2037,2270,2127,,,,280,2100,0,0,-100.00%,,-7.49%,
6-Jun-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,0.00%,,30,30,,0.00%,,37759.37406,521697.5352,6/6/23,VUT,2,521697.5352,2100,,,,,140,2100,0,0,,,0.00%,
7-Jun-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-3.33%,,29,30,,-3.62%,,86949.58921,502817.8482,6/7/23,VUT,5,521697.5352,2100,,,,,350,2030,0,0,,,-3.33%,
15-Jun-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,3.45%,,30,29,,3.75%,,68069.90218,521697.5352,6/15/23,VUT,4,502817.8482,2030,,,,,280,2100,0,0,,,3.45%,
22-Jun-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,0.00%,,30,30,,0.00%,,68069.90218,521697.5352,6/22/23,VUT,4,521697.5352,2100,,,,,280,2100,0,0,,,0.00%,
2-Jul-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,3.23%,,32,31,,4.21%,,56639.06108,559456.9093,7/2/23,VUT,3,536852.7993,2170,,,,,210,2240,0,0,,,3.23%,
11-Jul-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,0.00%,,32,32,,0.00%,,37759.37406,559456.9093,7/11/23,VUT,2,559456.9093,2240,,,,,140,2240,0,0,,,0.00%,
12-Jul-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,0.00%,,32,32,,0.00%,,105829.2762,559456.9093,7/12/23,VUT,6,559456.9093,2240,,,,,420,2240,0,0,,,0.00%,
3-Aug-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,12.90%,,35,31,,3.02%,,68069.90218,608647.1244,8/3/23,VUT,4,590794.7622,2370,4254,,,,280,2450,0,0,-100.00%,,3.38%,
16-Aug-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-35.48%,,20,31,,-23.25%,,105829.2762,409189.1657,8/16/23,VUT,6,533128.3763,2170,,,,,420,1600,0,4254,,,-26.27%,
27-Aug-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,3.13%,,33,32,,3.37%,,56639.06108,578336.5963,8/27/23,VUT,3,559456.9093,2240,,,,,210,2310,0,0,,,3.13%,
31-Aug-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,20.00%,,36,30,,18.59%,,68069.90218,627526.8115,8/31/23,VUT,4,529146.3812,2100,,,,,280,2520,0,0,,,20.00%,
4-Sep-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,6.06%,,35,33,,5.24%,,68069.90218,608647.1244,9/4/23,VUT,4,578336.5963,2310,,,,,280,2450,0,0,,,6.06%,
21-Sep-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,6.67%,,32,30,,15.71%,,187769.5455,603637.8045,9/21/23,VUT,7,521697.5352,2100,,,,,710,2460,0,0,,,17.14%,
25-Sep-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,9.68%,,34,31,,24.42%,,68069.90218,649103.5966,9/25/23,VUT,4,521697.5352,2170,,,,,280,2600,0,0,,,19.82%,
26-Sep-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,6.45%,,33,31,,20.80%,,18879.68703,630223.9096,9/26/23,VUT,1,521697.5352,2170,,,,,70,2530,0,0,,,16.59%,
15-Mar-20,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,300.00%,,4,1,,300.00%,,91701.33699,183402.674,3/15/20,VUT,2,45850.6685,170,2127,,,,340,680,4254,8508,300.00%,,300.00%,
22-Mar-20,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-25.00%,,3,4,,-25.00%,,45850.6685,137552.0055,3/22/20,VUT,1,183402.674,680,8508,,,,170,510,2127,6381,-25.00%,,-25.00%,
24-Mar-20,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-25.00%,,3,4,,-25.00%,,45850.6685,137552.0055,3/24/20,VUT,1,183402.674,680,8508,,,,170,510,2127,6381,-25.00%,,-25.00%,
23-Aug-20,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,0.00%,,6,6,,0.00%,,91701.33699,275104.011,8/23/20,VUT,2,275104.011,1020,12762,,,,340,1020,4254,12762,0.00%,,0.00%,
6-Sep-20,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,0.00%,,6,6,,0.00%,,91701.33699,275104.011,9/6/20,VUT,2,275104.011,1020,12762,,,,340,1020,4254,12762,0.00%,,0.00%,
22-Sep-20,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,150.00%,,5,2,,150.00%,,91701.33699,229253.3425,9/22/20,VUT,2,91701.33699,340,4254,,,,340,850,4254,10635,150.00%,,150.00%,
11-Oct-20,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,0.00%,,4,4,,0.00%,,91701.33699,183402.674,10/11/20,VUT,2,183402.674,680,8508,,,,340,680,4254,8508,0.00%,,0.00%,
3-Nov-20,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,0.00%,,6,6,,0.00%,,91701.33699,275104.011,11/3/20,VUT,2,275104.011,1020,12762,,,,340,1020,4254,12762,0.00%,,0.00%,
6-Dec-20,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,50.00%,,6,4,,50.00%,,91701.33699,275104.011,12/6/20,VUT,2,183402.674,680,8508,,,,340,1020,4254,12762,50.00%,,50.00%,
15-Dec-20,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-25.00%,500.00%,6,8,1,-25.00%,500.00%,91701.33699,275104.011,12/15/20,VUT,2,366805.348,1360,17016,45850.6685,170,2127,340,1020,4254,12762,-25.00%,500.00%,-25.00%,500.00%
20-Dec-20,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,66.67%,900.00%,10,6,1,24.74%,648.46%,159771.2392,343173.9132,12/20/20,VUT,6,275104.011,1020,12762,45850.6685,170,2127,620,1300,4254,12762,0.00%,500.00%,27.45%,664.71%
21-Dec-20,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,150.00%,1400.00%,15,6,1,53.64%,821.85%,79500.74327,422674.6564,12/21/20,VUT,5,275104.011,1020,12762,45850.6685,170,2127,350,1650,0,12762,0.00%,500.00%,61.76%,870.59%
26-Dec-20,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,566.67%,,40,6,,169.75%,,83225.16624,742089.8306,12/26/20,VUT,5,275104.011,1020,12762,,,,350,3000,0,4254,-66.67%,,194.12%,
28-Dec-20,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,173.33%,,41,15,,68.16%,,102104.8533,710751.9777,12/28/20,VUT,6,422674.6564,1650,12762,,,,420,2870,0,0,-100.00%,,73.94%,
21-Jan-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,5.41%,,39,37,,12.89%,,105829.2762,738107.8355,1/21/21,VUT,6,653855.3444,2590,,,,,420,2930,0,4254,,,13.13%,
23-Jan-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,11.43%,,39,35,,18.37%,,139864.2273,738107.8355,1/23/21,VUT,8,623544.8163,2450,,,,,560,2930,0,4254,,,19.59%,
27-Jan-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-2.63%,,37,38,,-9.56%,,71794.32515,653855.3444,1/27/21,VUT,4,722952.5714,2860,4254,,,,280,2590,0,0,-100.00%,,-9.44%,
29-Jan-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-10.26%,,35,39,,-16.03%,,68069.90218,619820.3933,1/29/21,VUT,4,738107.8355,2930,4254,,,,280,2450,0,0,-100.00%,,-16.38%,
9-Feb-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,0.00%,,36,36,,-1.28%,,71794.32515,642424.5033,2/9/21,VUT,4,650773.37,2620,2127,,,,280,2520,0,0,-100.00%,,-3.82%,
19-Feb-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-3.13%,1450.00%,31,32,2,-4.58%,497.62%,102104.8533,548026.0682,2/19/21,VUT,6,574354.6012,2240,,91701.33699,340,4254,420,2170,0,0,,-100.00%,-3.13%,538.24%
20-Feb-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-6.25%,1400.00%,30,32,2,-7.87%,477.03%,105829.2762,529146.3812,2/20/21,VUT,6,574354.6012,2240,,91701.33699,340,4254,420,2100,0,0,,-100.00%,-6.25%,517.65%
27-Feb-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-13.33%,2500.00%,26,30,1,-12.86%,905.60%,105829.2762,461076.479,2/27/21,VUT,6,529146.3812,2100,,45850.6685,170,2127,420,1820,0,0,,-100.00%,-13.33%,970.59%
31-Mar-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-33.33%,,18,27,,-31.23%,,75518.74811,324936.6746,3/31/21,VUT,4,472507.3201,1890,,,,,280,1260,0,0,,,-33.33%,
3-Apr-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-21.74%,,18,23,,-6.32%,,91701.33699,378878.6376,4/3/21,VUT,2,404437.4179,1610,,,,,340,1460,4254,4254,,,-9.32%,
14-Apr-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,30.00%,,13,10,,-4.22%,,68069.90218,277031.3565,4/14/21,VUT,4,289231.9502,1100,8508,,,,280,1110,0,4254,-50.00%,,0.91%,
18-Apr-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,380.00%,,24,5,,111.32%,,37759.37406,419592.682,4/18/21,VUT,2,198557.938,750,8508,,,,140,1680,0,0,-100.00%,,124.00%,
1-May-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,4.17%,,25,24,,5.60%,,86949.58921,431023.5231,5/1/21,VUT,5,408161.8409,1780,2127,,,,350,1750,0,0,-100.00%,,-1.69%,
12-May-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-3.85%,,25,26,,-4.09%,,52914.63812,442196.792,5/12/21,VUT,3,461076.479,1820,,,,,210,1750,0,0,,,-3.85%,
19-May-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,24.00%,,31,25,,25.62%,,68069.90218,555474.9141,5/19/21,VUT,4,442196.792,1750,,,,,280,2170,0,0,,,24.00%,
12-Jun-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,58.33%,,19,12,,62.44%,,68069.90218,343816.3617,6/12/21,VUT,4,211658.5525,840,,,,,280,1330,0,0,,,58.33%,
20-Jun-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,0.00%,,20,20,,-1.04%,,90674.01217,355247.2028,6/20/21,VUT,5,358971.6257,1400,,,,,350,1400,0,0,,,0.00%,
21-Jun-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-4.76%,,20,21,,-5.05%,,52914.63812,355247.2028,6/21/21,VUT,3,374126.8898,1470,,,,,210,1400,0,0,,,-4.76%,
9-Jul-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-4.17%,,23,24,,1.91%,,52914.63812,431408.3994,7/9/21,VUT,3,423317.1049,1680,,,,,210,1710,0,2127,,,1.79%,
16-Jul-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,0.00%,,23,23,,-4.53%,,75518.74811,411886.2638,7/16/21,VUT,4,431408.3994,1710,2127,,,,280,1610,0,0,-100.00%,,-5.85%,
8-Aug-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-21.88%,,25,32,,-21.63%,,105829.2762,438472.369,8/8/21,VUT,6,559456.9093,2240,,,,,420,1750,0,0,,,-21.88%,
9-Aug-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-13.79%,,25,29,,-14.07%,,52914.63812,438472.369,8/9/21,VUT,3,510266.6941,2030,,,,,210,1750,0,0,,,-13.79%,
10-Aug-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-3.85%,,25,26,,-4.90%,,52914.63812,438472.369,8/10/21,VUT,3,461076.479,1820,,,,,210,1750,0,0,,,-3.85%,
13-Aug-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,30.43%,,30,23,,27.82%,,83225.16624,521697.5352,8/13/21,VUT,5,408161.8409,1610,,,,,350,2100,0,0,,,30.43%,
25-Aug-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,6.67%,,32,30,,7.34%,,37759.37406,552008.0634,8/25/21,VUT,2,514248.6893,2100,,,,,140,2240,0,0,,,6.67%,
27-Aug-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-6.25%,,30,32,,-6.84%,,98380.4303,514248.6893,8/27/21,VUT,6,552008.0634,2240,,,,,420,2100,0,0,,,-6.25%,
30-Aug-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-11.43%,,31,35,,-12.56%,,83225.16624,525679.5304,8/30/21,VUT,5,601198.2785,2450,,,,,350,2170,0,0,,,-11.43%,
4-Sep-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,46.67%,,44,30,,44.16%,,128690.9584,741320.078,9/4/21,VUT,8,514248.6893,2100,,,,,560,3080,0,0,,,46.67%,
12-Sep-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-13.64%,,38,44,,-11.76%,,90674.01217,654112.9166,9/12/21,VUT,5,741320.078,3080,,,,,350,2660,0,0,,,-13.64%,
19-Sep-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-13.16%,,33,38,,4.34%,,159771.2392,682496.0992,9/19/21,VUT,6,654112.9166,2660,,,,,620,2710,4254,8508,,,1.88%,
2-Oct-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,44.00%,,36,25,,26.12%,,132415.3814,616353.5426,10/2/21,VUT,8,488689.909,1950,4254,,,,560,2520,0,0,-100.00%,,29.23%,
14-Oct-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,9.68%,,34,31,,21.59%,,90674.01217,643709.4004,10/14/21,VUT,5,529403.9534,2170,,,,,350,2580,0,4254,,,18.89%,
17-Oct-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-48.72%,,20,39,,-44.51%,,91701.33699,405464.7427,10/17/21,VUT,2,730658.9896,2930,4254,,,,340,1600,4254,4254,0.00%,,-45.39%,
22-Oct-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-64.52%,450.00%,11,31,2,-48.17%,235.99%,37759.37406,308111.6373,10/22/21,VUT,2,594519.1852,2370,4254,91701.33699,340,4254,140,1170,0,8508,100.00%,100.00%,-50.63%,244.12%
30-Oct-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,118.18%,,24,11,,35.33%,,120984.5403,427041.5279,10/30/21,VUT,7,315560.4832,1170,8508,,,,490,1680,0,0,-100.00%,,43.59%,
3-Nov-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,150.00%,,35,14,,123.13%,,15155.26406,589767.4374,11/3/21,VUT,2,264315.6184,980,,,,,240,2550,2127,2127,,,160.20%,
15-Nov-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,19.23%,,31,26,,26.04%,,52914.63812,552650.5119,11/15/21,VUT,3,438472.369,1920,2127,,,,210,2270,0,2127,0.00%,,18.23%,
17-Nov-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,59.09%,,35,22,,43.54%,,52914.63812,597473.8555,11/17/21,VUT,3,416253.1353,1640,2127,,,,210,2450,0,0,-100.00%,,49.39%,
19-Nov-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,7.41%,,29,27,,2.19%,,90674.01217,502817.8482,11/19/21,VUT,5,492029.4556,1990,2127,,,,350,2030,0,0,-100.00%,,2.01%,
26-Nov-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-3.45%,,28,29,,-0.05%,,75518.74811,502560.276,11/26/21,VUT,4,502817.8482,2030,,,,,280,1960,0,0,,,-3.45%,
13-Dec-21,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,20.69%,,35,29,,0.27%,,30310.52812,616095.9704,12/13/21,VUT,2,614426.197,2430,8508,,,,140,2450,0,0,-100.00%,,0.82%,
28-Sep-22,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,1000.00%,,11,1,,940.82%,,34772.47648,129130.7324,9/28/22,VUT,3,12406.65148,46,776,,,,138,506,2328,8536,1000.00%,,1000.00%,
3-Oct-22,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,114.29%,,15,7,,112.15%,,22365.825,173862.3824,10/3/22,VUT,2,81951.60443,322,5432,,,,92,690,1552,11640,114.29%,,114.29%,
9-Oct-22,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,6.67%,,16,15,,5.73%,,34772.47648,183821.5559,10/9/22,VUT,3,173862.3824,690,11640,,,,138,736,2328,12416,6.67%,,6.67%,
15-Nov-22,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,0.00%,,4,4,,16.06%,,47718.54758,93569.21608,11/15/22,VUT,3,80623.14497,308,4455,,,,186,356,776,2903,-34.84%,,15.58%,
21-Nov-22,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,1100.00%,,12,1,,526.76%,,68069.90218,287375.4063,11/21/22,VUT,4,45850.6685,170,2127,,,,280,1116,0,7157,236.48%,,556.47%,
22-Nov-22,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,150.00%,,10,4,,176.31%,,18879.68703,258536.5458,11/22/22,VUT,1,93569.21608,356,2903,,,,70,1000,0,6381,119.81%,,180.90%,
6-Dec-22,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,90.00%,,19,10,,66.94%,,83610.04255,386585.0557,12/6/22,VUT,3,231565.5643,900,4254,,,,310,1530,2127,4254,0.00%,,70.00%,
24-Dec-22,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,0.00%,,31,31,,-10.19%,,181348.0243,510266.6941,12/24/22,VUT,10,568190.6522,2370,4254,,,,700,2170,0,0,-100.00%,,-8.44%,
2-Jan-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,6.06%,,35,33,,24.58%,,49190.21515,701633.3584,1/2/23,VUT,3,563181.3323,2310,,,,,210,2850,0,8508,,,23.38%,
14-Jan-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-6.25%,,30,32,,-3.50%,,68069.90218,629581.4611,1/14/23,VUT,4,652443.1433,2640,8508,,,,280,2500,0,8508,0.00%,,-5.30%,
26-Jan-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,78.26%,,41,23,,57.97%,,136139.8044,718200.8236,1/26/23,VUT,8,454654.9579,1810,4254,,,,560,2870,0,0,-100.00%,,58.56%,
28-Jan-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,100.00%,,46,23,,74.03%,,113535.6944,797701.5669,1/28/23,VUT,7,458379.3808,1810,4254,,,,490,3220,0,0,-100.00%,,77.90%,
9-Feb-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-15.38%,,33,39,,-20.97%,,37759.37406,617123.2952,2/9/23,VUT,2,780876.5295,3130,8508,,,,140,2510,0,4254,-50.00%,,-19.81%,
20-Feb-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,29.17%,1450.00%,31,24,2,10.76%,485.44%,68069.90218,536852.7993,2/20/23,VUT,4,484707.9138,1880,4254,91701.33699,340,4254,280,2170,0,0,-100.00%,-100.00%,15.43%,538.24%
25-Feb-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-3.45%,1300.00%,28,29,2,-2.99%,435.86%,68069.90218,491387.0071,2/25/23,VUT,4,506542.2712,2030,,91701.33699,340,4254,280,1960,0,0,,-100.00%,-3.45%,476.47%
26-Feb-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-3.45%,2700.00%,28,29,1,-2.99%,971.71%,56639.06108,491387.0071,2/26/23,VUT,3,506542.2712,2030,,45850.6685,170,2127,210,1960,0,0,,-100.00%,-3.45%,1052.94%
16-Mar-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,,,2,,,,,91701.33699,91701.33699,3/16/23,VUT,2,,,,,,,340,340,4254,4254,,,,
19-Mar-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,,,8,,,,,52914.63812,251472.5762,3/19/23,VUT,3,,,,,,,210,960,0,8508,,,,
22-Mar-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,,,16,,,,,105829.2762,395061.2265,3/22/23,VUT,6,,,,,,,420,1520,0,8508,,,,
23-Mar-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,700.00%,,16,2,,271.99%,,37759.37406,341119.2635,3/23/23,VUT,2,91701.33699,340,4254,,,,140,1320,0,4254,0.00%,,288.24%,
11-Apr-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,45.45%,,32,22,,47.04%,,37759.37406,566905.7552,4/11/23,VUT,2,385557.7309,1540,,,,,140,2240,0,0,,,45.45%,
12-Apr-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,25.00%,,30,24,,25.00%,,105829.2762,529146.3812,4/12/23,VUT,6,423317.1049,1680,,,,,420,2100,0,0,,,25.00%,
13-Apr-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,16.00%,,29,25,,19.08%,,37759.37406,517715.5401,4/13/23,VUT,2,434747.946,1750,,,,,140,2030,0,0,,,16.00%,
21-May-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,4.00%,,26,25,,12.26%,,102489.7296,488047.4605,5/21/23,VUT,4,434747.946,1750,,,,,380,1920,2127,2127,,,9.71%,
27-May-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,34.78%,,31,23,,40.33%,,68069.90218,567548.2037,5/27/23,VUT,4,404437.4179,1610,,,,,280,2270,0,2127,,,40.99%,
2-Jun-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-3.23%,,30,31,,-8.08%,,117260.1173,521697.5352,6/2/23,VUT,7,567548.2037,2270,2127,,,,490,2100,0,0,-100.00%,,-7.49%,
11-Jun-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,0.00%,,29,29,,-0.74%,,56639.06108,502817.8482,6/11/23,VUT,3,506542.2712,2030,,,,,210,2030,0,0,,,0.00%,
13-Jun-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-3.33%,,29,30,,-3.62%,,37759.37406,502817.8482,6/13/23,VUT,2,521697.5352,2100,,,,,140,2030,0,0,,,-3.33%,
9-Jul-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,0.00%,,32,32,,0.00%,,56639.06108,559456.9093,7/9/23,VUT,3,559456.9093,2240,,,,,210,2240,0,0,,,0.00%,
14-Jul-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,9.38%,,35,32,,22.00%,,201512.6084,682547.6137,7/14/23,VUT,9,559456.9093,2240,,,,,830,2724,4254,7623,,,21.61%,
15-Jul-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,3.13%,,33,32,,15.25%,,68069.90218,644788.2396,7/15/23,VUT,4,559456.9093,2240,,,,,280,2584,0,7623,,,15.36%,
19-Jul-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,6.25%,,34,32,,18.63%,,86949.58921,663667.9266,7/19/23,VUT,5,559456.9093,2240,,,,,350,2654,0,7623,,,18.48%,
21-Jul-23,Vanuatu,VU,East Asia & Pacific,Passenger,Domestic,-14.29%,,30,35,,-20.64%,,117260.1173,541656.0615,7/21/23,VUT,7,682547.6137,2724,7623,,,,490,2174,0,3369,-55.80%,,-20.19%,
